Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
401.00 1124.01 0.757828 1.952829 -9967.947273 0.295110 1.142291 4.202 58.9797 1.49778 17.1703 0.744311 0.0830312 2.84712 0.00246262 6.36415 0.00117937 10.7153 1.59474
301.00 1122.05 1.571244 4.045281 -20693.177874 0.612814 2.367749 4.248 59.2005 1.40542 17.1588 0.730525 0.0822013 2.80381 0.00238344 6.31777 0.00113908 10.7238 1.5736
201.00 1120.06 1.826211 4.697421 -24081.330081 0.713352 2.751237 4.293 59.4187 1.31589 17.1475 0.716502 0.0813871 2.76102 0.00230672 6.27131 0.00110009 10.7316 1.55267
101.00 1118.03 1.828721 4.699504 -24144.718135 0.715430 2.754285 4.340 59.6355 1.22776 17.1366 0.702175 0.0805771 2.7187 0.00223211 6.22476 0.00106223 10.7389 1.5318
1.00 1115.98 1.831629 4.702512 -24213.423852 0.717670 2.757925 4.386 59.8504 1.14133 17.1261 0.687569 0.0797724 2.67689 0.00215958 6.17816 0.00102549 10.7457 1.51093

clinopyroxene_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp structure formula SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
44001.00 1208.92 12.476566 29.033849 -148765.636396 3.792906 14.833212 cpx Na0.13Ca0.70Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7689 0.714707 3.48253 0.741711 0 2.52837 0 17.7631 0 18.1184 1.8823
43901.00 1208.75 12.476478 29.033863 -148802.873810 3.793095 14.833831 cpx Na0.13Ca0.70Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7661 0.714404 3.48835 0.741199 0 2.52941 0 17.7613 0 18.1169 1.8824
43801.00 1208.58 12.476399 29.033903 -148840.240200 3.793288 14.834463 cpx Na0.13Ca0.70Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7632 0.714098 3.4942 0.740686 0 2.53046 0 17.7595 0 18.1154 1.88251
43701.00 1208.40 12.476332 29.033967 -148877.737066 3.793483 14.835106 cpx Na0.13Ca0.70Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7604 0.713791 3.50009 0.740173 0 2.53151 0 17.7576 0 18.1139 1.88261
43601.00 1208.23 12.476275 29.034056 -148915.365915 3.793682 14.835762 cpx Na0.13Ca0.70Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7575 0.713481 3.50601 0.739659 0 2.53257 0 17.7557 0 18.1124 1.88271
43501.00 1208.06 12.476229 29.034170 -148953.128274 3.793884 14.836429 cpx Na0.13Ca0.70Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7546 0.713169 3.51196 0.739146 0 2.53363 0 17.7539 0 18.1108 1.88281
43401.00 1207.88 12.476194 29.034310 -148991.025689 3.794090 14.837110 cpx Na0.13Ca0.70Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7517 0.712855 3.51795 0.738633 0 2.53469 0 17.752 0 18.1093 1.88291
43301.00 1207.71 12.476171 29.034475 -149029.059726 3.794298 14.837802 cpx Na0.13Ca0.70Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7487 0.712538 3.52397 0.73812 0 2.53575 0 17.7501 0 18.1078 1.88301
43201.00 1207.54 12.476158 29.034667 -149067.231958 3.794510 14.838508 cpx Na0.13Ca0.70Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7457 0.712219 3.53002 0.737607 0 2.53682 0 17.7481 0 18.1063 1.8831
43101.00 1207.36 12.476158 29.034886 -149105.543995 3.794726 14.839226 cpx Na0.13Ca0.70Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7428 0.711898 3.5361 0.737093 0 2.53789 0 17.7462 0 18.1048 1.8832
43001.00 1207.19 12.476168 29.035131 -149143.997454 3.794945 14.839957 cpx Na0.13Ca0.70Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7398 0.711575 3.54223 0.73658 0 2.53897 0 17.7443 0 18.1034 1.88329
42901.00 1207.02 12.476191 29.035402 -149182.593977 3.795167 14.840702 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7367 0.711249 3.54838 0.736066 0 2.54005 0 17.7423 0 18.1019 1.88338
42801.00 1206.84 12.476225 29.035702 -149221.335215 3.795393 14.841459 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7337 0.710921 3.55457 0.735553 0 2.54113 0 17.7403 0 18.1004 1.88347
42701.00 1206.67 12.476271 29.036028 -149260.222854 3.795623 14.842231 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7306 0.710591 3.5608 0.735039 0 2.54222 0 17.7383 0 18.0989 1.88356
42601.00 1206.49 12.476329 29.036383 -149299.258592 3.795856 14.843015 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7275 0.710259 3.56706 0.734526 0 2.54331 0 17.7363 0 18.0974 1.88364
42501.00 1206.32 12.476400 29.036766 -149338.444148 3.796093 14.843814 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7244 0.709924 3.57335 0.734012 0 2.5444 0 17.7343 0 18.0959 1.88373
42401.00 1206.15 12.476482 29.037177 -149377.781263 3.796334 14.844626 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7213 0.709587 3.57969 0.733498 0 2.5455 0 17.7322 0 18.0944 1.88381
42301.00 1205.97 12.476577 29.037617 -149417.271698 3.796578 14.845452 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7181 0.709248 3.58605 0.732984 0 2.5466 0 17.7302 0 18.0929 1.88389
42201.00 1205.80 12.476685 29.038087 -149456.917238 3.796826 14.846293 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7149 0.708906 3.59246 0.732471 0 2.5477 0 17.7281 0 18.0915 1.88396
42101.00 1205.63 12.476806 29.038585 -149496.719683 3.797078 14.847148 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7117 0.708562 3.5989 0.731957 0 2.54881 0 17.726 0 18.09 1.88404
