Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
1401.00 1147.37 0.059414 0.154670 -775.230133 0.022926 0.089814 3.875 57.8486 1.45768 17.4575 0.703043 0.0887045 3.16029 0.00285324 6.78577 0.00139737 10.6829 1.81124
1301.00 1145.59 0.753869 1.960813 -9847.359008 0.291258 1.139341 3.912 58.0284 1.3896 17.4408 0.696363 0.0878638 3.12047 0.0027739 6.74487 0.001356 10.7083 1.77919
1201.00 1143.77 1.471720 3.824569 -19245.456342 0.569312 2.223733 3.949 58.2069 1.32424 17.424 0.689191 0.0870596 3.08073 0.00269695 6.70354 0.00131589 10.7321 1.74826
1101.00 1141.93 1.728295 4.487324 -22625.668312 0.669406 2.610799 3.987 58.3857 1.25961 17.4075 0.681521 0.0862621 3.0411 0.00262176 6.66186 0.00127675 10.7546 1.71803
1001.00 1140.06 1.729520 4.486448 -22666.897283 0.670729 2.612031 4.025 58.5651 1.19479 17.3915 0.673347 0.085457 3.00163 0.00254803 6.61989 0.00123844 10.7763 1.68819
901.00 1138.16 1.730907 4.485936 -22710.423337 0.672123 2.613501 4.064 58.7448 1.12999 17.3761 0.664696 0.0846452 2.96235 0.00247578 6.57767 0.00120097 10.7974 1.65868
801.00 1136.25 1.732464 4.485801 -22756.336511 0.673589 2.615223 4.103 58.9245 1.06544 17.3612 0.65559 0.0838273 2.92332 0.00240502 6.53526 0.00116432 10.8179 1.6294
701.00 1134.30 1.734195 4.486045 -22804.671179 0.675127 2.617201 4.142 59.1037 1.00138 17.347 0.646055 0.0830038 2.88456 0.00233575 6.49269 0.00112851 10.8379 1.60025
601.00 1132.34 1.736098 4.486658 -22855.395098 0.676735 2.619435 4.182 59.2822 0.938021 17.3333 0.636118 0.0821751 2.84613 0.00226797 6.45 0.00109353 10.8575 1.57114
501.00 1130.34 1.738166 4.487612 -22908.395608 0.678410 2.621914 4.222 59.4595 0.87559 17.3202 0.625802 0.0813413 2.80807 0.00220167 6.40726 0.00105937 10.877 1.54195
401.00 1128.31 1.740382 4.488860 -22963.462123 0.680143 2.624615 4.262 59.6353 0.814305 17.3077 0.615136 0.0805022 2.77041 0.00213684 6.3645 0.00102603 10.8964 1.51257
301.00 1126.26 1.742724 4.490332 -23020.263665 0.681925 2.627504 4.303 59.809 0.754379 17.2959 0.604147 0.0796569 2.73321 0.00207347 6.3218 0.00099348 10.916 1.48286
201.00 1124.18 1.745156 4.491928 -23078.319585 0.683740 2.630528 4.344 59.9802 0.696019 17.2848 0.592864 0.0788044 2.69652 0.00201151 6.27919 0.000961718 10.9359 1.45268
101.00 1122.06 1.747628 4.493513 -23136.960586 0.685566 2.633615 4.384 60.1486 0.639425 17.2745 0.581318 0.0779428 2.66038 0.00195094 6.23676 0.000930719 10.9564 1.42185
1.00 1119.91 1.750074 4.494904 -23195.272709 0.687379 2.636664 4.425 60.3135 0.584787 17.2649 0.569543 0.0770694 2.62486 0.00189171 6.19459 0.00090046 10.9778 1.39017

clinopyroxene_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp structure formula SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
44001.00 1230.54 12.511542 29.352142 -148835.777811 3.807205 14.903481 cpx Na0.13Ca0.69Fe''0.08Mg0.96Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7669 0.704915 3.51431 0.739774 0 2.58474 0 17.9043 0 17.9155 1.86949
43901.00 1230.36 12.511615 29.352538 -148875.059994 3.807442 14.904311 cpx Na0.13Ca0.69Fe''0.08Mg0.96Fe'''0.02Ti0.02Al0.15Si1.96O6 54.764 0.7046 3.52031 0.739269 0 2.58584 0 17.9025 0 17.914 1.86957
43801.00 1230.18 12.511699 29.352961 -148914.484250 3.807682 14.905155 cpx Na0.13Ca0.69Fe''0.08Mg0.96Fe'''0.02Ti0.02Al0.15Si1.96O6 54.761 0.704283 3.52635 0.738764 0 2.58694 0 17.9006 0 17.9124 1.86965
43701.00 1230.00 12.511795 29.353412 -148954.052193 3.807926 14.906012 cpx Na0.13Ca0.69Fe''0.08Mg0.96Fe'''0.02Ti0.02Al0.15Si1.96O6 54.758 0.703963 3.53242 0.738258 0 2.58805 0 17.8988 0 17.9108 1.86973
43601.00 1229.83 12.511903 29.353890 -148993.765449 3.808174 14.906883 cpx Na0.13Ca0.69Fe''0.08Mg0.96Fe'''0.02Ti0.02Al0.15Si1.96O6 54.755 0.703642 3.53852 0.737753 0 2.58916 0 17.8969 0 17.9092 1.8698
43501.00 1229.65 12.512023 29.354396 -149033.625673 3.808425 14.907767 cpx Na0.13Ca0.69Fe''0.08Mg0.96Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7519 0.703318 3.54466 0.737247 0 2.59027 0 17.895 0 17.9076 1.86988
43401.00 1229.47 12.512155 29.354931 -149073.634529 3.808679 14.908665 cpx Na0.13Ca0.69Fe''0.08Mg0.96Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7489 0.702992 3.55083 0.736742 0 2.59139 0 17.8931 0 17.9061 1.86995
43301.00 1229.30 12.512300 29.355494 -149113.793706 3.808938 14.909577 cpx Na0.13Ca0.69Fe''0.08Mg0.96Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7458 0.702663 3.55704 0.736236 0 2.59251 0 17.8912 0 17.9045 1.87002
43201.00 1229.12 12.512456 29.356086 -149154.104914 3.809200 14.910503 cpx Na0.13Ca0.69Fe''0.08Mg0.96Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7427 0.702333 3.56328 0.73573 0 2.59363 0 17.8893 0 17.9029 1.87009
43101.00 1228.94 12.512626 29.356707 -149194.569882 3.809466 14.911443 cpx Na0.13Ca0.69Fe''0.08Mg0.96Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7396 0.702 3.56955 0.735224 0 2.59476 0 17.8874 0 17.9014 1.87016
43001.00 1228.76 12.512808 29.357357 -149235.190362 3.809736 14.912397 cpx Na0.13Ca0.69Fe''0.08Mg0.96Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7365 0.701665 3.57586 0.734718 0 2.59589 0 17.8854 0 17.8998 1.87022
42901.00 1228.59 12.513002 29.358038 -149275.968113 3.810009 14.913366 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7333 0.701328 3.58221 0.734211 0 2.59703 0 17.8834 0 17.8982 1.87029
42801.00 1228.41 12.513210 29.358748 -149316.904941 3.810286 14.914350 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7301 0.700989 3.58859 0.733705 0 2.59817 0 17.8814 0 17.8967 1.87035
42701.00 1228.23 12.513431 29.359489 -149358.002655 3.810568 14.915348 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7269 0.700647 3.59501 0.733199 0 2.59931 0 17.8794 0 17.8951 1.87041
42601.00 1228.05 12.513665 29.360261 -149399.263089 3.810853 14.916361 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7237 0.700303 3.60146 0.732692 0 2.60046 0 17.8774 0 17.8935 1.87047
42501.00 1227.88 12.513913 29.361064 -149440.688104 3.811142 14.917390 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7204 0.699956 3.60795 0.732185 0 2.60161 0 17.8754 0 17.892 1.87052
42401.00 1227.70 12.514174 29.361899 -149482.279579 3.811436 14.918434 cpx Na0.13Ca0.69Fe''0.08Mg0.95Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7171 0.699608 3.61447 0.731678 0 2.60276 0 17.8733 0 17.8904 1.87058
