Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
3301.00 1185.47 0.416868 1.104873 -5373.961331 0.158957 0.633099 3.419 56.3823 1.10547 18.1072 0.519788 0.0947459 3.6135 0.00363056 7.44254 0.00184113 10.2439 2.48511
3201.00 1184.04 0.914012 2.420293 -11791.697132 0.348727 1.387946 3.439 56.4656 1.08578 18.0848 0.525594 0.0937699 3.59009 0.00354976 7.41996 0.00179759 10.3098 2.41925
3101.00 1182.58 1.427489 3.776525 -18430.241123 0.544970 2.167389 3.461 56.553 1.06544 18.062 0.530859 0.0928613 3.5656 0.00347051 7.39603 0.0017549 10.3728 2.35615
3001.00 1181.10 1.520810 4.019731 -19650.434308 0.580965 2.308768 3.483 56.6433 1.04399 18.0395 0.535658 0.0919628 3.54042 0.00339237 7.37117 0.00171284 10.4342 2.29465
2901.00 1179.59 1.524307 4.025269 -19711.215181 0.582683 2.313753 3.506 56.7362 1.02135 18.0174 0.539997 0.0910618 3.51468 0.00331523 7.3455 0.00167137 10.4944 2.23446
2801.00 1178.07 1.527539 4.030081 -19768.890336 0.584312 2.318327 3.529 56.8316 0.997544 17.9958 0.543864 0.0901569 3.48841 0.00323909 7.31906 0.00163049 10.5533 2.17549
2701.00 1176.52 1.530517 4.034188 -19823.563175 0.585857 2.322504 3.552 56.9293 0.972625 17.9745 0.547248 0.0892466 3.46167 0.00316395 7.29189 0.0015902 10.6111 2.11765
2601.00 1174.95 1.533248 4.037613 -19875.327701 0.587320 2.326298 3.576 57.0292 0.946645 17.9538 0.550142 0.0883297 3.4345 0.00308981 7.26405 0.0015505 10.6679 2.06086
2501.00 1173.36 1.535740 4.040372 -19924.264082 0.588703 2.329719 3.601 57.1311 0.919661 17.9335 0.552541 0.0874047 3.40695 0.00301666 7.23557 0.00151138 10.7237 2.00501
2401.00 1171.75 1.537998 4.042481 -19970.433244 0.590007 2.332778 3.626 57.2349 0.891742 17.9137 0.554439 0.0864704 3.37908 0.0029445 7.20651 0.00147285 10.7788 1.95
2301.00 1170.12 1.540026 4.043948 -20013.870649 0.591233 2.335482 3.652 57.3403 0.862961 17.8944 0.555836 0.0855252 3.35093 0.00287332 7.17692 0.00143489 10.8331 1.89572
2201.00 1168.47 1.541825 4.044775 -20054.578876 0.592380 2.337832 3.678 57.447 0.833398 17.8757 0.556734 0.0845679 3.32256 0.00280311 7.14684 0.00139752 10.8869 1.84207
2101.00 1166.80 1.543395 4.044955 -20092.518744 0.593446 2.339829 3.704 57.555 0.803141 17.8575 0.557135 0.0835969 3.29404 0.00273388 7.11635 0.00136071 10.9402 1.78891
2001.00 1165.11 1.544729 4.044473 -20127.598570 0.594429 2.341464 3.731 57.6638 0.772285 17.84 0.557045 0.0826106 3.26542 0.0026656 7.08548 0.00132447 10.9933 1.73612
1901.00 1163.41 1.545817 4.043297 -20159.661126 0.595323 2.342723 3.758 57.7731 0.740929 17.823 0.556474 0.0816071 3.23676 0.00259827 7.05432 0.0012888 11.0463 1.68356
1801.00 1161.68 1.546642 4.041381 -20188.467505 0.596120 2.343582 3.786 57.8828 0.709178 17.8068 0.555432 0.0805845 3.20813 0.00253188 7.02293 0.00125368 11.0994 1.63107
1701.00 1159.93 1.547180 4.038659 -20213.677097 0.596810 2.344006 3.813 57.9923 0.677143 17.7912 0.553934 0.0795405 3.17961 0.0024664 6.99138 0.00121911 11.1528 1.57848
1601.00 1158.17 1.547398 4.035040 -20234.822382 0.597377 2.343944 3.841 58.1013 0.64494 17.7763 0.551998 0.0784724 3.15126 0.00240183 6.95975 0.00118508 11.2068 1.52562
1501.00 1156.39 1.547249 4.030401 -20251.276994 0.597801 2.343331 3.869 58.2093 0.612688 17.7622 0.549644 0.0773773 3.12318 0.00233813 6.92813 0.00115157 11.2617 1.47227
1401.00 1154.59 1.546674 4.024580 -20262.215010 0.598058 2.342076 3.897 58.316 0.580511 17.7489 0.546898 0.0762516 3.09546 0.00227527 6.89662 0.00111858 11.3178 1.4182
1301.00 1152.77 1.545593 4.017368 -20266.558604 0.598115 2.340062 3.926 58.4206 0.548535 17.7365 0.543789 0.0750911 3.0682 0.00221323 6.86532 0.00108608 11.3755 1.36315
1201.00 1150.94 1.543903 4.008493 -20262.910701 0.597927 2.337135 3.954 58.5228 0.516889 17.7249 0.540351 0.0738909 3.04152 0.00215196 6.83437 0.00105405 11.4352 1.30683
1101.00 1149.09 1.541470 3.997604 -20249.468049 0.597442 2.333098 3.982 58.6217 0.485705 17.7144 0.536624 0.0726452 3.01554 0.00209142 6.80391 0.00102248 11.4975 1.24888
1001.00 1147.24 1.538123 3.984251 -20223.909824 0.596588 2.327692 4.010 58.7166 0.455116 17.7049 0.532658 0.0713471 2.99042 0.00203156 6.7741 0.000991344 11.5629 1.18892
901.00 1145.37 1.533642 3.967860 -20183.256193 0.595275 2.320588 4.037 58.8066 0.425256 17.6965 0.528508 0.0699882 2.96634 0.00197231 6.74512 0.000960606 11.6323 1.12648
801.00 1143.50 1.527742 3.947695 -20123.693128 0.593389 2.311363 4.064 58.8906 0.396261 17.6893 0.524243 0.068559 2.9435 0.0019136 6.71722 0.000930236 11.7065 1.061
701.00 1141.63 1.520064 3.922824 -20040.365208 0.590783 2.299477 4.090 58.9676 0.368269 17.6833 0.519943 0.0670481 2.92216 0.00185536 6.69064 0.000900199 11.7864 0.991855
601.00 1139.77 1.510153 3.892075 -19927.151790 0.587275 2.284250 4.115 59.036 0.341416 17.6787 0.515706 0.0654424 2.90261 0.00179749 6.6657 0.000870455 11.8735 0.918285
501.00 1137.91 1.497448 3.854004 -19776.473897 0.582638 2.264839 4.139 59.0942 0.315841 17.6755 0.511652 0.0637269 2.8852 0.0017399 6.64276 0.000840963 11.9691 0.839411
401.00 1136.08 1.481275 3.806885 -19579.240545 0.576602 2.240231 4.161 59.1404 0.291682 17.6737 0.50792 0.0618856 2.87035 0.0016825 6.62224 0.000811684 12.0751 0.754226
301.00 1134.28 1.460871 3.748777 -19325.158763 0.568861 2.209284 4.181 59.1725 0.269075 17.6733 0.50468 0.0599019 2.85854 0.00162521 6.60461 0.000782583 12.1933 0.661609
201.00 1132.87 1.300907 3.333787 -17219.596396 0.506711 1.967281 4.196 59.2025 0.254196 17.6424 0.506271 0.0581029 2.8539 0.00158165 6.5963 0.000760459 12.3155 0.568429
101.00 1132.18 1.011015 2.588672 -13385.912646 0.393922 1.528725 4.205 59.2604 0.252809 17.5436 0.516532 0.057002 2.85746 0.001568 6.601 0.000753272 12.4172 0.491733
1.00 1131.49 1.009626 2.583106 -13371.147528 0.393550 1.526408 4.215 59.3345 0.25103 17.4382 0.525781 0.0560956 2.85864 0.0015584 6.60348 0.000748036 12.5056 0.42439

orthopyroxene_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp structure formula SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
44001.00 1268.41 13.838981 34.016316 -165668.890826 4.258399 17.664766 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.05Si1.97O6 57.4011 0.25346 1.32611 0.236629 0 5.15622 0 33.7248 0 1.55727 0.344393
43901.00 1268.23 13.846519 34.034659 -165800.376756 4.260944 17.674987 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.05Si1.97O6 57.3979 0.253507 1.33016 0.236757 0 5.15773 0 33.7225 0 1.5573 0.344124
43801.00 1268.04 13.854098 34.053103 -165932.405914 4.263501 17.685262 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.05Si1.97O6 57.3947 0.253554 1.33423 0.236886 0 5.15924 0 33.7202 0 1.55733 0.343853
43701.00 1267.86 13.861720 34.071650 -166064.983028 4.266071 17.695590 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.05Si1.97O6 57.3915 0.253602 1.33832 0.237016 0 5.16076 0 33.7179 0 1.55736 0.343581
43601.00 1267.67 13.869384 34.090301 -166198.112872 4.268655 17.705972 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.05Si1.97O6 57.3882 0.253651 1.34244 0.237146 0 5.16229 0 33.7156 0 1.55738 0.343309
43501.00 1267.49 13.877090 34.109056 -166331.800286 4.271251 17.716409 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.05Si1.97O6 57.3849 0.2537 1.34658 0.237277 0 5.16382 0 33.7133 0 1.5574 0.343036
43401.00 1267.31 13.884840 34.127917 -166466.050170 4.273861 17.726901 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.05Si1.97O6 57.3816 0.25375 1.35075 0.237408 0 5.16535 0 33.7109 0 1.55741 0.342762
43301.00 1267.12 13.892633 34.146883 -166600.867484 4.276484 17.737448 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.05Si1.97O6 57.3783 0.253801 1.35495 0.23754 0 5.16689 0 33.7086 0 1.55742 0.342487
43201.00 1266.94 13.900470 34.165957 -166736.257259 4.279121 17.748051 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.375 0.253852 1.35917 0.237673 0 5.16843 0 33.7062 0 1.55743 0.342211
43101.00 1266.75 13.908351 34.185139 -166872.224577 4.281771 17.758711 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3717 0.253905 1.36341 0.237807 0 5.16998 0 33.7038 0 1.55744 0.341935
43001.00 1266.57 13.916277 34.204431 -167008.774598 4.284435 17.769427 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3683 0.253957 1.36768 0.237941 0 5.17153 0 33.7015 0 1.55744 0.341658
42901.00 1266.38 13.924248 34.223832 -167145.912543 4.287113 17.780202 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3649 0.254011 1.37198 0.238076 0 5.17309 0 33.6991 0 1.55744 0.34138
42801.00 1266.20 13.932265 34.243345 -167283.643701 4.289806 17.791034 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3616 0.254065 1.3763 0.238211 0 5.17465 0 33.6967 0 1.55743 0.341101
42701.00 1266.02 13.940327 34.262969 -167421.973431 4.292512 17.801925 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3581 0.25412 1.38065 0.238347 0 5.17621 0 33.6943 0 1.55742 0.340821
42601.00 1265.83 13.948435 34.282707 -167560.907162 4.295232 17.812874 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3547 0.254175 1.38502 0.238484 0 5.17778 0 33.6919 0 1.55741 0.34054
42501.00 1265.65 13.956590 34.302559 -167700.450393 4.297967 17.823884 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3513 0.254231 1.38943 0.238621 0 5.17936 0 33.6894 0 1.55739 0.340259
42401.00 1265.46 13.964793 34.322526 -167840.608698 4.300717 17.834954 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3478 0.254288 1.39385 0.238759 0 5.18094 0 33.687 0 1.55737 0.339976
42301.00 1265.28 13.973043 34.342609 -167981.387723 4.303481 17.846084 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3443 0.254345 1.39831 0.238898 0 5.18252 0 33.6846 0 1.55734 0.339693
42201.00 1265.09 13.981340 34.362810 -168122.793192 4.306260 17.857276 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3408 0.254404 1.40279 0.239037 0 5.18411 0 33.6821 0 1.55731 0.339409
42101.00 1264.91 13.989687 34.383129 -168264.830902 4.309054 17.868529 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3373 0.254462 1.4073 0.239177 0 5.1857 0 33.6797 0 1.55728 0.339124
42001.00 1264.73 13.998082 34.403567 -168407.506730 4.311863 17.879845 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3338 0.254522 1.41184 0.239318 0 5.1873 0 33.6772 0 1.55725 0.338838
41901.00 1264.54 14.006527 34.424127 -168550.826634 4.314687 17.891225 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3302 0.254582 1.4164 0.239459 0 5.1889 0 33.6747 0 1.55721 0.338551
41801.00 1264.36 14.015021 34.444808 -168694.796650 4.317527 17.902667 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3266 0.254643 1.421 0.239601 0 5.19051 0 33.6722 0 1.55716 0.338263
41701.00 1264.17 14.023565 34.465611 -168839.422898 4.320382 17.914174 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.323 0.254704 1.42562 0.239743 0 5.19212 0 33.6697 0 1.55711 0.337975
41601.00 1263.99 14.032161 34.486539 -168984.711583 4.323253 17.925746 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3194 0.254766 1.43027 0.239886 0 5.19374 0 33.6672 0 1.55706 0.337685
41501.00 1263.80 14.040807 34.507593 -169130.668992 4.326140 17.937383 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3158 0.254829 1.43494 0.24003 0 5.19536 0 33.6647 0 1.55701 0.337394
41401.00 1263.62 14.049506 34.528772 -169277.301502 4.329042 17.949087 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3121 0.254892 1.43965 0.240174 0 5.19698 0 33.6622 0 1.55695 0.337103
41301.00 1263.43 14.058256 34.550079 -169424.615579 4.331961 17.960857 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3084 0.254956 1.44439 0.240319 0 5.19861 0 33.6596 0 1.55688 0.33681
41201.00 1263.25 14.067060 34.571516 -169572.617778 4.334896 17.972695 opx Na0.02Ca0.06Fe''0.15Mg1.73Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3047 0.255021 1.44915 0.240464 0 5.20025 0 33.6571 0 1.55681 0.336517
