Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
10101.00 1217.18 0.018740 0.052261 -233.303393 0.007128 0.028390 2.895 54.7122 0.544036 19.551 0.068777 0.297864 3.25235 0.0111079 6.52741 0.00584835 3.71616 11.3132
10001.00 1216.86 0.061381 0.171083 -764.714557 0.023355 0.092989 2.908 54.7775 0.542945 19.5603 0.0698829 0.292476 3.24726 0.0109431 6.53039 0.00575913 3.76951 11.1931
9901.00 1216.53 0.104710 0.291695 -1305.493048 0.039852 0.158633 2.921 54.842 0.541908 19.5691 0.0710204 0.287145 3.24238 0.0107797 6.53371 0.00567072 3.82386 11.0724
9801.00 1216.20 0.148755 0.414175 -1856.017123 0.056632 0.225366 2.934 54.9057 0.540924 19.5776 0.0721908 0.281872 3.23771 0.0106178 6.53735 0.00558312 3.87924 10.9511
9701.00 1215.86 0.193549 0.538602 -2416.685931 0.073705 0.293236 2.947 54.9687 0.539995 19.5858 0.0733956 0.276656 3.23325 0.0104572 6.54134 0.00549632 3.93566 10.8293
9601.00 1215.53 0.239123 0.665061 -2987.920952 0.091085 0.362291 2.960 55.0308 0.539122 19.5936 0.0746361 0.271497 3.22902 0.010298 6.54568 0.00541032 3.99315 10.7068
9501.00 1215.20 0.285512 0.793641 -3570.167482 0.108784 0.432584 2.973 55.0921 0.538304 19.601 0.0759139 0.266395 3.22501 0.0101403 6.55036 0.00532512 4.05173 10.5837
9401.00 1214.86 0.332751 0.924438 -4163.896278 0.126816 0.504170 2.986 55.1526 0.537543 19.608 0.0772305 0.261349 3.22123 0.0099839 6.55541 0.00524072 4.11144 10.46
9301.00 1214.52 0.380879 1.057551 -4769.605281 0.145195 0.577108 2.999 55.2121 0.536839 19.6147 0.0785876 0.25636 3.21768 0.00982892 6.56081 0.0051571 4.17229 10.3357
9201.00 1214.38 0.353508 0.981028 -4429.724142 0.134785 0.535659 3.009 55.2659 0.539495 19.6116 0.0804779 0.252022 3.21924 0.00967557 6.57376 0.005075 4.24116 10.2015
9101.00 1214.95 0.046891 0.130077 -587.813744 0.017877 0.071061 3.011 55.3003 0.554678 19.5739 0.0842996 0.249835 3.23915 0.00952665 6.61367 0.00499746 4.33697 10.0327
4601.00 1204.48 0.042874 0.114994 -548.867398 0.016281 0.065228 3.218 55.8158 0.925516 18.5206 0.377165 0.101874 3.76893 0.00444982 7.68053 0.0022959 9.4241 3.37868
4501.00 1203.43 0.368814 0.988263 -4724.254546 0.140075 0.561097 3.230 55.8467 0.921301 18.4999 0.385848 0.100206 3.76162 0.00435689 7.67632 0.0022456 9.52359 3.27785
4401.00 1202.34 0.710298 1.901492 -9103.892680 0.269827 1.080583 3.242 55.881 0.916478 18.4788 0.394446 0.0986491 3.753 0.0042654 7.67047 0.00219608 9.62048 3.18021
4301.00 1201.21 1.067399 2.854763 -13689.189959 0.405578 1.623781 3.255 55.9188 0.911041 18.4573 0.402928 0.0971987 3.74305 0.00417541 7.66299 0.00214735 9.71467 3.08577
4201.00 1200.05 1.372660 3.667719 -17614.999863 0.521707 2.088061 3.269 55.9599 0.904951 18.4354 0.411271 0.0958379 3.73187 0.00408684 7.65398 0.0020994 9.80635 2.99428
4101.00 1198.86 1.379773 3.683231 -17717.401239 0.524559 2.098772 3.283 56.0031 0.898035 18.4137 0.419485 0.0945036 3.71985 0.00399936 7.64388 0.00205205 9.89671 2.90462
4001.00 1197.65 1.386538 3.697766 -17815.610677 0.527291 2.108942 3.297 56.0485 0.890283 18.3923 0.42755 0.093194 3.70701 0.00391296 7.63271 0.00200531 9.98579 2.81674
3901.00 1196.42 1.392952 3.711319 -17909.586783 0.529900 2.118566 3.312 56.0961 0.881688 18.371 0.435446 0.0919069 3.69339 0.00382764 7.6205 0.00195919 10.0736 2.73058
3801.00 1195.15 1.399013 3.723885 -17999.288389 0.532386 2.127642 3.327 56.1457 0.872244 18.35 0.443154 0.0906402 3.679 0.00374342 7.60729 0.00191369 10.1602 2.64608
3701.00 1193.87 1.404716 3.735458 -18084.673348 0.534748 2.136164 3.343 56.1974 0.861948 18.3293 0.450654 0.0893917 3.66389 0.00366028 7.59312 0.0018688 10.2456 2.56317
3601.00 1192.56 1.410060 3.746033 -18165.697116 0.536983 2.144129 3.359 56.2512 0.850799 18.3088 0.457927 0.088159 3.64809 0.00357822 7.57801 0.00182454 10.3298 2.48177
3501.00 1191.23 1.415042 3.755603 -18242.310879 0.539091 2.151532 3.376 56.307 0.838801 18.2886 0.464954 0.0869398 3.63163 0.00349724 7.56202 0.00178089 10.4131 2.4018
3401.00 1189.87 1.419657 3.764159 -18314.459401 0.541070 2.158369 3.393 56.3646 0.82596 18.2686 0.471718 0.0857317 3.61456 0.00341733 7.54518 0.00173786 10.4953 2.32318
3301.00 1188.49 1.423902 3.771691 -18382.078229 0.542918 2.164633 3.411 56.4241 0.812286 18.249 0.478202 0.0845323 3.59691 0.00333848 7.52754 0.00169544 10.5766 2.24582
3201.00 1187.10 1.427771 3.778188 -18445.090560 0.544633 2.170318 3.429 56.4853 0.797793 18.2296 0.484389 0.0833389 3.57874 0.00326069 7.50916 0.00165364 10.6571 2.16961
3101.00 1185.68 1.431258 3.783634 -18503.403405 0.546210 2.175415 3.447 56.5481 0.7825 18.2106 0.490266 0.0821492 3.5601 0.00318394 7.49006 0.00161244 10.737 2.09444
3001.00 1184.24 1.434356 3.788009 -18556.903140 0.547648 2.179913 3.466 56.6123 0.76643 18.192 0.495819 0.0809605 3.54104 0.00310822 7.47033 0.00157184 10.8162 2.0202
2901.00 1182.78 1.437055 3.791288 -18605.450407 0.548941 2.183798 3.485 56.6778 0.749611 18.1737 0.501037 0.0797702 3.5216 0.00303353 7.45 0.00153184 10.8951 1.94678
2801.00 1181.30 1.439343 3.793441 -18648.874280 0.550084 2.187053 3.504 56.7445 0.732076 18.1558 0.505911 0.0785756 3.50187 0.00295983 7.42914 0.00149242 10.9737 1.87403
2701.00 1179.81 1.441205 3.794428 -18686.965736 0.551070 2.189657 3.524 56.8119 0.713864 18.1383 0.510435 0.0773742 3.48189 0.00288714 7.40781 0.00145359 11.0522 1.80183
2601.00 1178.30 1.442624 3.794203 -18719.470449 0.551891 2.191584 3.544 56.8801 0.695017 18.1213 0.514602 0.0761632 3.46174 0.00281541 7.38608 0.00141534 11.1308 1.73002
2501.00 1176.77 1.443577 3.792708 -18746.081164 0.552539 2.192801 3.564 56.9486 0.675586 18.1047 0.518412 0.0749398 3.44149 0.00274465 7.36403 0.00137766 11.2096 1.65844
2401.00 1175.23 1.444039 3.789873 -18766.429682 0.553000 2.193271 3.585 57.0173 0.655625 18.0886 0.521865 0.0737012 3.42121 0.00267483 7.34172 0.00134054 11.289 1.58693
2301.00 1173.68 1.443977 3.785617 -18780.079385 0.553263 2.192946 3.605 57.0857 0.635194 18.073 0.524965 0.0724446 3.40099 0.00260594 7.31924 0.00130397 11.3692 1.5153
2201.00 1172.11 1.443355 3.779841 -18786.518687 0.553311 2.191772 3.626 57.1536 0.614358 18.0579 0.527718 0.0711671 3.38092 0.00253796 7.29667 0.00126795 11.4505 1.44337
2101.00 1170.53 1.442130 3.772433 -18785.157187 0.553126 2.189686 3.647 57.2206 0.593187 18.0433 0.530136 0.0698658 3.36108 0.00247087 7.27411 0.00123247 11.533 1.37093
2001.00 1168.94 1.440254 3.763268 -18775.326302 0.552688 2.186616 3.668 57.2863 0.571755 18.0293 0.532232 0.0685378 3.34158 0.00240466 7.25164 0.00119752 11.6173 1.29777
1901.00 1167.34 1.437673 3.752206 -18756.287987 0.551974 2.182484 3.688 57.3502 0.550143 18.0158 0.534023 0.0671802 3.32252 0.00233931 7.22938 0.00116309 11.7036 1.22366
1801.00 1165.74 1.434331 3.739099 -18727.255917 0.550960 2.177203 3.709 57.412 0.528432 18.0028 0.535532 0.0657904 3.30401 0.00227481 7.20742 0.00112919 11.7923 1.14837
1701.00 1164.13 1.430171 3.723799 -18687.436395 0.549622 2.170691 3.729 57.4711 0.506707 17.9903 0.536782 0.0643658 3.28616 0.00221114 7.18587 0.00109579 11.8838 1.07165
1601.00 1162.52 1.425140 3.706173 -18636.098704 0.547939 2.162870 3.749 57.527 0.485055 17.9784 0.537804 0.0629044 3.2691 0.00214832 7.16483 0.00106291 11.9785 0.993267
1501.00 1160.90 1.419200 3.686122 -18572.688630 0.545893 2.153684 3.769 57.5793 0.463562 17.9669 0.538626 0.0614048 3.25292 0.00208632 7.14441 0.00103054 12.0768 0.912994
1401.00 1159.30 1.412341 3.663622 -18497.004594 0.543477 2.143117 3.788 57.6275 0.44231 17.9558 0.53928 0.0598664 3.23775 0.00202517 7.1247 0.000998689 12.1791 0.83062
1301.00 1157.69 1.404598 3.638767 -18409.463179 0.540705 2.131226 3.807 57.6712 0.421377 17.9452 0.539798 0.0582903 3.22367 0.00196488 7.10578 0.000967365 12.2858 0.745978
1201.00 1156.09 1.396084 3.611853 -18311.494752 0.537618 2.118181 3.825 57.7102 0.40083 17.9347 0.540204 0.0566791 3.21077 0.0019055 7.08769 0.000936586 12.3971 0.658971
1101.00 1154.50 1.387034 3.583490 -18206.136852 0.534306 2.104338 3.842 57.7442 0.380721 17.9245 0.540514 0.0550383 3.19905 0.00184707 7.07044 0.000906378 12.5132 0.569609
1001.00 1153.45 1.168769 3.016296 -15347.748660 0.450341 1.773057 3.853 57.7826 0.374096 17.865 0.549655 0.0539334 3.19695 0.00181179 7.06572 0.000888045 12.6239 0.485506
901.00 1152.56 1.099400 2.834619 -14441.660679 0.423746 1.667632 3.864 57.8355 0.371525 17.7845 0.561168 0.053165 3.19569 0.00178735 7.06303 0.000875188 12.7219 0.410892
801.00 1151.65 1.102265 2.839554 -14484.374263 0.425028 1.671737 3.876 57.9047 0.368257 17.6985 0.571696 0.0525886 3.19157 0.00176702 7.05777 0.000864355 12.8066 0.345644
701.00 1150.74 1.102226 2.837219 -14489.142177 0.425235 1.671389 3.890 57.9903 0.364349 17.6064 0.581175 0.0521866 3.1848 0.00175091 7.05027 0.000855598 12.8786 0.289405
601.00 1149.83 1.099038 2.827007 -14452.670031 0.424267 1.666221 3.906 58.0914 0.359882 17.508 0.589578 0.0519373 3.17571 0.00173906 7.04093 0.000848935 12.9383 0.241592
501.00 1148.93 1.092714 2.808959 -14375.008024 0.422124 1.656259 3.923 58.2072 0.35496 17.4033 0.596916 0.0518159 3.16468 0.00173143 7.03019 0.000844355 12.987 0.201439
401.00 1148.05 1.083519 2.783766 -14259.568469 0.418902 1.641915 3.941 58.3361 0.349697 17.2922 0.603232 0.0517967 3.15214 0.00172795 7.01851 0.000841815 13.0257 0.168065
301.00 1147.20 1.071928 2.752637 -14112.476116 0.414775 1.623915 3.960 58.4768 0.344207 17.1747 0.608591 0.0518543 3.13851 0.00172847 7.00633 0.00084125 13.0559 0.140547
201.00 1146.37 1.058534 2.717089 -13941.493859 0.409966 1.603169 3.980 58.6277 0.338598 17.0512 0.613079 0.0519652 3.12418 0.00173284 6.99405 0.00084258 13.0787 0.117984
101.00 1145.58 1.043969 2.678723 -13754.860483 0.404714 1.580640 4.000 58.7872 0.33296 16.9218 0.616788 0.0521087 3.10949 0.00174089 6.98202 0.000845717 13.0955 0.0995399
1.00 1144.82 1.028823 2.639033 -13560.319333 0.399243 1.557228 4.021 58.9541 0.327369 16.7869 0.619811 0.0522675 3.09474 0.00175243 6.97053 0.000850573 13.1072 0.0844766

clinopyroxene_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp structure formula SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
44001.00 1284.66 12.637292 30.238254 -149454.699427 3.854954 15.126525 cpx Na0.13Ca0.67Fe''0.08Mg0.98Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7642 0.679826 3.59452 0.733283 0 2.73092 0 18.2927 0 17.3709 1.83355
43901.00 1284.47 12.637861 30.239856 -149500.265015 3.855339 15.128004 cpx Na0.13Ca0.67Fe''0.08Mg0.98Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7609 0.679483 3.60097 0.732791 0 2.73218 0 18.291 0 17.3691 1.83356
43801.00 1284.29 12.638445 30.241492 -149546.012059 3.855729 15.129501 cpx Na0.13Ca0.67Fe''0.08Mg0.98Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7577 0.679139 3.60746 0.732298 0 2.73344 0 18.2892 0 17.3673 1.83357
43701.00 1284.10 12.639044 30.243164 -149591.942528 3.856124 15.131015 cpx Na0.13Ca0.67Fe''0.08Mg0.98Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7543 0.678792 3.61398 0.731806 0 2.73471 0 18.2874 0 17.3655 1.83357
43601.00 1283.91 12.639658 30.244871 -149638.058415 3.856523 15.132546 cpx Na0.13Ca0.67Fe''0.08Mg0.98Fe'''0.02Ti0.02Al0.15Si1.96O6 54.751 0.678443 3.62053 0.731313 0 2.73598 0 18.2855 0 17.3636 1.83357
43501.00 1283.73 12.640287 30.246615 -149684.361736 3.856926 15.134095 cpx Na0.13Ca0.67Fe''0.08Mg0.98Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7476 0.678092 3.62713 0.730819 0 2.73726 0 18.2837 0 17.3618 1.83357
43401.00 1283.54 12.640932 30.248395 -149730.854533 3.857334 15.135661 cpx Na0.13Ca0.67Fe''0.08Mg0.98Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7442 0.677739 3.63375 0.730326 0 2.73853 0 18.2818 0 17.36 1.83357
43301.00 1283.35 12.641592 30.250212 -149777.538868 3.857747 15.137246 cpx Na0.13Ca0.67Fe''0.08Mg0.98Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7408 0.677383 3.64042 0.729832 0 2.73982 0 18.28 0 17.3582 1.83356
43201.00 1283.16 12.642268 30.252066 -149824.416835 3.858165 15.138849 cpx Na0.13Ca0.67Fe''0.08Mg0.98Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7374 0.677026 3.64712 0.729338 0 2.7411 0 18.2781 0 17.3564 1.83356
43101.00 1282.98 12.642960 30.253958 -149871.490546 3.858587 15.140470 cpx Na0.13Ca0.67Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.15Si1.96O6 54.734 0.676666 3.65385 0.728844 0 2.7424 0 18.2762 0 17.3545 1.83355
43001.00 1282.79 12.643668 30.255889 -149918.762144 3.859014 15.142109 cpx Na0.13Ca0.67Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7305 0.676304 3.66063 0.728349 0 2.74369 0 18.2743 0 17.3527 1.83353
42901.00 1282.60 12.644392 30.257857 -149966.233796 3.859447 15.143767 cpx Na0.13Ca0.67Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.15Si1.96O6 54.727 0.67594 3.66744 0.727854 0 2.74499 0 18.2724 0 17.3509 1.83352
42801.00 1282.42 12.645132 30.259865 -150013.907695 3.859884 15.145445 cpx Na0.13Ca0.67Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.15Si1.96O6 54.7234 0.675573 3.67429 0.727359 0 2.74629 0 18.2704 0 17.3491 1.8335
42701.00 1282.23 12.645889 30.261912 -150061.786062 3.860326 15.147141 cpx Na0.13Ca0.67Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.7199 0.675204 3.68117 0.726863 0 2.7476 0 18.2685 0 17.3473 1.83348
42601.00 1282.04 12.646663 30.263998 -150109.871146 3.860773 15.148857 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.7163 0.674834 3.6881 0.726368 0 2.74892 0 18.2665 0 17.3455 1.83346
42501.00 1281.85 12.647453 30.266125 -150158.165221 3.861225 15.150592 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.7127 0.67446 3.69506 0.725871 0 2.75023 0 18.2645 0 17.3437 1.83344
42401.00 1281.67 12.648261 30.268292 -150206.670596 3.861682 15.152347 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.7091 0.674085 3.70206 0.725375 0 2.75155 0 18.2625 0 17.3419 1.83341
42301.00 1281.48 12.649086 30.270500 -150255.389593 3.862145 15.154123 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.7055 0.673707 3.7091 0.724878 0 2.75288 0 18.2605 0 17.3401 1.83339
42201.00 1281.29 12.649929 30.272750 -150304.324584 3.862613 15.155918 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.7018 0.673327 3.71617 0.724381 0 2.75421 0 18.2585 0 17.3383 1.83336
42101.00 1281.10 12.650789 30.275041 -150353.477957 3.863086 15.157734 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6981 0.672945 3.72329 0.723883 0 2.75555 0 18.2564 0 17.3365 1.83332
42001.00 1280.92 12.651667 30.277375 -150402.852134 3.863564 15.159570 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6944 0.67256 3.73044 0.723385 0 2.75688 0 18.2544 0 17.3347 1.83329
41901.00 1280.73 12.652562 30.279751 -150452.449566 3.864048 15.161427 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6906 0.672173 3.73764 0.722887 0 2.75823 0 18.2523 0 17.3329 1.83325
41801.00 1280.54 12.653477 30.282171 -150502.272740 3.864538 15.163306 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6868 0.671784 3.74487 0.722389 0 2.75958 0 18.2502 0 17.3311 1.83321
41701.00 1280.35 12.654409 30.284634 -150552.324165 3.865033 15.165206 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.683 0.671392 3.75215 0.72189 0 2.76093 0 18.2481 0 17.3293 1.83316
41601.00 1280.17 12.655360 30.287142 -150602.606393 3.865533 15.167127 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6792 0.670998 3.75947 0.72139 0 2.76229 0 18.246 0 17.3275 1.83312
41501.00 1279.98 12.656330 30.289694 -150653.122001 3.866040 15.169070 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6754 0.670602 3.76682 0.72089 0 2.76365 0 18.2438 0 17.3258 1.83307
41401.00 1279.79 12.657319 30.292291 -150703.873603 3.866552 15.171035 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6715 0.670203 3.77422 0.72039 0 2.76501 0 18.2417 0 17.324 1.83302
41301.00 1279.60 12.658327 30.294933 -150754.863846 3.867069 15.173023 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6676 0.669802 3.78166 0.71989 0 2.76639 0 18.2395 0 17.3222 1.83296
41201.00 1279.42 12.659355 30.297622 -150806.095411 3.867593 15.175033 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6637 0.669398 3.78914 0.719389 0 2.76776 0 18.2373 0 17.3204 1.83291
41101.00 1279.23 12.660402 30.300357 -150857.571012 3.868123 15.177066 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6597 0.668992 3.79666 0.718887 0 2.76914 0 18.2351 0 17.3186 1.83285
41001.00 1279.04 12.661469 30.303139 -150909.293403 3.868658 15.179122 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6557 0.668584 3.80422 0.718386 0 2.77053 0 18.2329 0 17.3169 1.83278
40901.00 1278.85 12.662556 30.305969 -150961.265371 3.869200 15.181201 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6517 0.668173 3.81182 0.717883 0 2.77192 0 18.2307 0 17.3151 1.83272
40801.00 1278.66 12.663664 30.308847 -151013.489740 3.869748 15.183304 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6477 0.66776 3.81947 0.717381 0 2.77331 0 18.2284 0 17.3133 1.83265
40701.00 1278.48 12.664792 30.311773 -151065.969374 3.870302 15.185431 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6436 0.667344 3.82716 0.716878 0 2.77471 0 18.2262 0 17.3116 1.83258
40601.00 1278.29 12.665941 30.314748 -151118.707165 3.870862 15.187582 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.96O6 54.6395 0.666926 3.83489 0.716374 0 2.77611 0 18.2239 0 17.3098 1.83251
40501.00 1278.10 12.667110 30.317773 -151171.706060 3.871428 15.189757 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.95O6 54.6354 0.666505 3.84267 0.71587 0 2.77752 0 18.2216 0 17.3081 1.83243
40401.00 1277.91 12.668301 30.320849 -151224.969034 3.872001 15.191957 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.95O6 54.6312 0.666081 3.85049 0.715365 0 2.77894 0 18.2192 0 17.3063 1.83235
40301.00 1277.72 12.669513 30.323975 -151278.499105 3.872581 15.194182 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.95O6 54.6271 0.665656 3.85835 0.71486 0 2.78035 0 18.2169 0 17.3045 1.83227
40201.00 1277.54 12.670747 30.327152 -151332.299333 3.873167 15.196432 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.95O6 54.6229 0.665227 3.86626 0.714355 0 2.78178 0 18.2145 0 17.3028 1.83218
40101.00 1277.35 12.672003 30.330381 -151386.372814 3.873759 15.198707 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.95O6 54.6186 0.664796 3.87421 0.713849 0 2.78321 0 18.2122 0 17.3011 1.83209
40001.00 1277.16 12.673281 30.333663 -151440.722695 3.874359 15.201008 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.95O6 54.6144 0.664363 3.88221 0.713342 0 2.78464 0 18.2098 0 17.2993 1.832
39901.00 1276.97 12.674581 30.336997 -151495.352161 3.874965 15.203336 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.95O6 54.6101 0.663927 3.89025 0.712835 0 2.78608 0 18.2074 0 17.2976 1.8319
39801.00 1276.78 12.675904 30.340386 -151550.264440 3.875577 15.205690 cpx Na0.13Ca0.66Fe''0.08Mg0.97Fe'''0.02Ti0.02Al0.16Si1.95O6 54.6057 0.663488 3.89834 0.712327 0 2.78752 0 18.205 0 17.2958 1.83181
