Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
10801.00 1233.68 0.011459 0.032130 -141.632006 0.004333 0.017391 2.693 54.0375 0.573375 19.2716 0.0735034 0.300113 3.55939 0.0124086 7.01085 0.00661903 3.8696 11.2851
10701.00 1233.35 0.052689 0.147659 -651.709280 0.019930 0.079965 2.706 54.1007 0.572291 19.2814 0.074639 0.294908 3.55372 0.0122311 7.01297 0.00652165 3.92264 11.1679
10601.00 1233.02 0.094582 0.264925 -1170.743579 0.035785 0.143548 2.718 54.1633 0.571257 19.2909 0.0758061 0.289753 3.54825 0.0120551 7.0154 0.00642511 3.97662 11.0502
10501.00 1232.69 0.137165 0.383999 -1699.087305 0.051911 0.208182 2.731 54.2252 0.570274 19.3 0.077006 0.28465 3.54299 0.0118804 7.01815 0.0063294 4.03157 10.9319
10401.00 1232.36 0.180466 0.504957 -2237.111751 0.068317 0.273911 2.743 54.2863 0.569342 19.3088 0.0782398 0.279598 3.53794 0.0117072 7.02122 0.00623453 4.08751 10.8131
10301.00 1232.02 0.224516 0.627879 -2785.208344 0.085015 0.340780 2.756 54.3467 0.568461 19.3172 0.0795091 0.274597 3.53312 0.0115355 7.02463 0.00614049 4.14447 10.6936
10201.00 1231.69 0.269347 0.752849 -3343.789919 0.102017 0.408838 2.768 54.4063 0.567633 19.3253 0.0808152 0.269647 3.52851 0.0113652 7.02836 0.00604728 4.20246 10.5736
10101.00 1231.35 0.314992 0.879955 -3913.292171 0.119335 0.478138 2.780 54.4651 0.566859 19.333 0.0821595 0.264749 3.52413 0.0111963 7.03243 0.00595489 4.26151 10.453
10001.00 1231.01 0.361487 1.009291 -4494.175152 0.136984 0.548732 2.792 54.523 0.566138 19.3403 0.0835438 0.259901 3.51998 0.0110288 7.03684 0.00586333 4.32164 10.3317
9901.00 1230.67 0.408870 1.140955 -5086.924896 0.154977 0.620679 2.804 54.5801 0.565472 19.3473 0.0849696 0.255105 3.51607 0.0108628 7.04159 0.00577259 4.38287 10.2099
9801.00 1230.32 0.457181 1.275052 -5692.055183 0.173329 0.694039 2.816 54.6363 0.564861 19.3538 0.0864386 0.250359 3.51239 0.0106982 7.04669 0.00568267 4.44524 10.0875
9701.00 1229.98 0.506461 1.411693 -6310.109403 0.192057 0.768877 2.828 54.6916 0.564306 19.36 0.0879526 0.245665 3.50896 0.010535 7.05214 0.00559356 4.50875 9.96451
9601.00 1229.63 0.556754 1.550993 -6941.662583 0.211177 0.845261 2.839 54.746 0.563808 19.3658 0.0895136 0.241022 3.50577 0.0103732 7.05794 0.00550526 4.57345 9.8409
9501.00 1229.28 0.608109 1.693078 -7587.323553 0.230706 0.923262 2.851 54.7994 0.563367 19.3711 0.0911235 0.23643 3.50283 0.0102128 7.0641 0.00541778 4.63934 9.71669
9401.00 1228.92 0.660575 1.838077 -8247.737282 0.250664 1.002956 2.863 54.8518 0.562985 19.3761 0.0927844 0.231889 3.50014 0.0100538 7.07062 0.00533109 4.70647 9.59187
9301.00 1228.57 0.714205 1.986129 -8923.587381 0.271070 1.084425 2.874 54.9032 0.562662 19.3806 0.0944985 0.2274 3.49771 0.00989625 7.0775 0.00524521 4.77484 9.46646
9201.00 1228.21 0.769055 2.137382 -9615.598792 0.291946 1.167755 2.885 54.9536 0.562399 19.3847 0.096268 0.222962 3.49554 0.00974006 7.08475 0.00516013 4.8445 9.34044
9101.00 1227.84 0.825184 2.291991 -10324.540685 0.313314 1.253035 2.896 55.0029 0.562196 19.3883 0.0980954 0.218576 3.49364 0.00958527 7.09236 0.00507585 4.91545 9.21382
9001.00 1227.48 0.882656 2.450122 -11051.229558 0.335197 1.340364 2.907 55.0511 0.562055 19.3915 0.0999832 0.214242 3.49201 0.00943186 7.10034 0.00499236 4.98774 9.0866
8901.00 1227.11 0.941538 2.611951 -11796.532567 0.357622 1.429843 2.918 55.0982 0.561976 19.3943 0.101934 0.209959 3.49065 0.00927983 7.10868 0.00490966 5.06138 8.95878
8801.00 1226.74 1.001900 2.777664 -12561.371103 0.380615 1.521581 2.929 55.1441 0.56196 19.3966 0.103951 0.205729 3.48956 0.00912917 7.1174 0.00482774 5.13639 8.83037
8701.00 1226.36 1.063297 2.946009 -13340.161489 0.404005 1.614900 2.940 55.1889 0.562008 19.3984 0.106036 0.201551 3.48875 0.00897989 7.12648 0.00474661 5.21281 8.70137
8601.00 1225.98 1.063368 2.944314 -13350.024874 0.404094 1.615086 2.950 55.2323 0.562126 19.3998 0.108193 0.197409 3.48829 0.00883203 7.13603 0.00466629 5.29081 8.57157
8501.00 1225.60 1.063459 2.942652 -13360.091394 0.404188 1.615307 2.961 55.2743 0.562315 19.4007 0.110424 0.193303 3.4882 0.00868556 7.14606 0.00458677 5.37044 8.44097
8401.00 1225.22 1.063572 2.941026 -13370.375316 0.404286 1.615564 2.971 55.315 0.562577 19.4011 0.112734 0.189234 3.48848 0.0085405 7.15658 0.00450806 5.45172 8.30955
8301.00 1224.84 1.063708 2.939441 -13380.891913 0.404390 1.615860 2.981 55.3541 0.562915 19.401 0.115125 0.185201 3.48915 0.00839683 7.16758 0.00443015 5.53471 8.17731
8201.00 1224.46 1.063868 2.937898 -13391.657695 0.404498 1.616196 2.991 55.3918 0.563329 19.4005 0.117603 0.181205 3.4902 0.00825455 7.17908 0.00435304 5.61945 8.04424
8101.00 1224.07 1.064054 2.936401 -13402.690440 0.404613 1.616575 3.000 55.4279 0.563823 19.3994 0.12017 0.177246 3.49166 0.00811364 7.19108 0.00427671 5.70598 7.91033
8001.00 1223.68 1.064268 2.934955 -13414.009324 0.404733 1.617001 3.010 55.4624 0.564398 19.3978 0.122831 0.173324 3.49352 0.00797411 7.20359 0.00420117 5.79435 7.77557
7901.00 1223.29 1.064512 2.933564 -13425.635046 0.404861 1.617475 3.019 55.4952 0.565056 19.3957 0.12559 0.16944 3.4958 0.00783594 7.21661 0.00412642 5.8846 7.63997
7801.00 1223.01 1.021986 2.814402 -12896.878878 0.388697 1.552982 3.026 55.5219 0.567698 19.3879 0.128882 0.165744 3.50183 0.00770054 7.23469 0.00405347 5.98212 7.49747
7701.00 1223.09 0.876899 2.413252 -11070.752217 0.333462 1.332685 3.029 55.5309 0.577052 19.3618 0.13382 0.162579 3.51975 0.00757179 7.26889 0.00398508 6.10019 7.33348
7601.00 1223.14 0.772208 2.123693 -9753.277673 0.293603 1.173729 3.031 55.5386 0.586164 19.3363 0.138869 0.159381 3.53738 0.00744465 7.30241 0.00391748 6.21929 7.17032
7501.00 1223.16 0.681132 1.871915 -8606.716587 0.258932 1.035428 3.033 55.5449 0.595018 19.3114 0.14403 0.156158 3.55472 0.00731899 7.33521 0.00385059 6.33937 7.00804
7401.00 1223.14 0.603676 1.657865 -7631.343331 0.229448 0.917798 3.036 55.55 0.603596 19.2871 0.149303 0.15292 3.57173 0.00719469 7.36727 0.00378436 6.4604 6.8467
7301.00 1223.08 0.539853 1.481507 -6827.543227 0.205155 0.820866 3.038 55.554 0.611885 19.2634 0.154692 0.149674 3.58839 0.00707164 7.39857 0.00371874 6.58233 6.68635
7201.00 1222.99 0.489683 1.342827 -6195.801756 0.186058 0.744672 3.041 55.5568 0.619869 19.2402 0.160195 0.146428 3.60469 0.00694976 7.42906 0.00365367 6.70511 6.52704
7101.00 1222.86 0.453194 1.241822 -5736.693101 0.172165 0.689267 3.044 55.5587 0.627535 19.2175 0.165817 0.14319 3.62059 0.00682896 7.45873 0.00358912 6.82867 6.36885
7001.00 1222.69 0.430420 1.178504 -5450.868293 0.163486 0.654707 3.047 55.5597 0.634872 19.1953 0.171557 0.139969 3.63606 0.00670918 7.48753 0.00352506 6.95295 6.21183
6901.00 1222.49 0.421399 1.152891 -5339.043132 0.160032 0.641060 3.050 55.5598 0.64187 19.1736 0.177417 0.136772 3.65109 0.00659038 7.51542 0.00346146 7.07789 6.05606
6801.00 1222.25 0.426172 1.165012 -5401.986152 0.161818 0.648395 3.053 55.5592 0.648519 19.1524 0.183398 0.133606 3.66564 0.00647251 7.54239 0.0033983 7.20339 5.9016
6701.00 1221.98 0.444785 1.214898 -5640.506842 0.168858 0.676789 3.056 55.558 0.654813 19.1315 0.189503 0.130479 3.67967 0.00635553 7.56838 0.00333558 7.32939 5.74853
6601.00 1221.66 0.477284 1.302582 -6055.444454 0.181166 0.726319 3.060 55.5564 0.660744 19.111 0.195731 0.127396 3.69317 0.00623944 7.59336 0.00327328 7.45579 5.59694
6501.00 1221.32 0.523717 1.428097 -6647.657663 0.198760 0.797064 3.063 55.5543 0.666309 19.0908 0.202085 0.124365 3.70609 0.00612421 7.6173 0.0032114 7.58249 5.44688
6401.00 1220.93 0.584133 1.591476 -7418.015363 0.221656 0.889105 3.067 55.552 0.671504 19.071 0.208565 0.121391 3.7184 0.00600985 7.64016 0.00314994 7.7094 5.29846
6301.00 1220.51 0.658579 1.792745 -8367.388975 0.249869 1.002519 3.071 55.5496 0.676328 19.0513 0.215172 0.11848 3.73008 0.00589637 7.6619 0.0030889 7.83641 5.15174
6201.00 1220.05 0.747104 2.031928 -9496.646541 0.283417 1.137384 3.075 55.5472 0.680781 19.0319 0.221906 0.115638 3.74107 0.00578377 7.68249 0.00302831 7.96339 5.00682
6101.00 1219.56 0.849754 2.309044 -10806.648979 0.322315 1.293775 3.080 55.5449 0.684862 19.0127 0.228768 0.112869 3.75136 0.00567208 7.70189 0.00296817 8.09025 4.86377
6001.00 1219.03 0.966574 2.624106 -12298.248713 0.366580 1.471764 3.084 55.5429 0.688575 18.9936 0.235758 0.110178 3.76089 0.00556133 7.72006 0.00290849 8.21684 4.72268
5901.00 1218.46 1.097609 2.977121 -13972.291467 0.416229 1.671422 3.089 55.5414 0.691923 18.9747 0.242874 0.107569 3.76965 0.00545154 7.73697 0.00284931 8.34305 4.58364
5801.00 1217.86 1.138408 3.084928 -14498.795390 0.431655 1.733686 3.095 55.54 0.694869 18.9559 0.250102 0.105014 3.77774 0.00534266 7.75276 0.00279059 8.46919 4.44627
5701.00 1217.23 1.149676 3.112544 -14649.571814 0.435884 1.750976 3.100 55.5386 0.6974 18.9376 0.257437 0.102505 3.78521 0.00523467 7.7675 0.00273234 8.59537 4.31044

orthopyroxene_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp structure formula SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
44001.00 1300.93 13.860367 34.439316 -165339.435552 4.270508 17.722018 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.34 0.257696 1.40639 0.247312 0 5.13356 0 33.6056 0 1.65674 0.352713
43901.00 1300.74 13.868163 34.458492 -165473.835517 4.273131 17.732612 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3367 0.257739 1.41069 0.24744 0 5.1351 0 33.6032 0 1.65673 0.352432
43801.00 1300.55 13.876002 34.477776 -165608.805509 4.275768 17.743262 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3333 0.257782 1.41501 0.247568 0 5.13665 0 33.6008 0 1.65673 0.352151
43701.00 1300.36 13.883886 34.497169 -165744.350597 4.278419 17.753969 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3299 0.257825 1.41936 0.247697 0 5.1382 0 33.5984 0 1.65671 0.351868
43601.00 1300.16 13.891814 34.516672 -165880.475914 4.281083 17.764732 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3265 0.257869 1.42374 0.247827 0 5.13975 0 33.596 0 1.6567 0.351584
43501.00 1299.97 13.899788 34.536287 -166017.186658 4.283761 17.775554 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3231 0.257914 1.42814 0.247957 0 5.14131 0 33.5936 0 1.65668 0.3513
43401.00 1299.78 13.907806 34.556014 -166154.488097 4.286454 17.786433 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3196 0.257959 1.43257 0.248088 0 5.14287 0 33.5912 0 1.65666 0.351015
43301.00 1299.59 13.915871 34.575853 -166292.385566 4.289160 17.797371 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3161 0.258005 1.43702 0.248219 0 5.14444 0 33.5888 0 1.65663 0.350729
43201.00 1299.40 13.923982 34.595808 -166430.884471 4.291881 17.808369 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3127 0.258052 1.44151 0.248351 0 5.14601 0 33.5864 0 1.6566 0.350442
43101.00 1299.21 13.932139 34.615877 -166569.990290 4.294616 17.819426 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3091 0.258099 1.44601 0.248483 0 5.14759 0 33.584 0 1.65656 0.350154
43001.00 1299.02 13.940344 34.636063 -166709.708567 4.297365 17.830543 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3056 0.258146 1.45055 0.248616 0 5.14917 0 33.5815 0 1.65653 0.349865
42901.00 1298.83 13.948596 34.656366 -166850.044933 4.300130 17.841722 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.3021 0.258195 1.45511 0.24875 0 5.15075 0 33.5791 0 1.65648 0.349575
42801.00 1298.64 13.956896 34.676788 -166991.005080 4.302909 17.852961 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2985 0.258244 1.4597 0.248884 0 5.15234 0 33.5766 0 1.65644 0.349284
42701.00 1298.45 13.965244 34.697329 -167132.594783 4.305703 17.864263 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2949 0.258293 1.46431 0.249019 0 5.15393 0 33.5741 0 1.65639 0.348993
42601.00 1298.26 13.973641 34.717991 -167274.819897 4.308512 17.875628 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2914 0.258343 1.46896 0.249154 0 5.15553 0 33.5716 0 1.65633 0.3487
42501.00 1298.07 13.982088 34.738775 -167417.686351 4.311336 17.887055 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2877 0.258394 1.47363 0.24929 0 5.15713 0 33.5691 0 1.65627 0.348407
42401.00 1297.88 13.990584 34.759682 -167561.200156 4.314176 17.898546 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2841 0.258445 1.47833 0.249426 0 5.15874 0 33.5666 0 1.65621 0.348112
42301.00 1297.69 13.999131 34.780713 -167705.367408 4.317032 17.910102 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2805 0.258497 1.48306 0.249563 0 5.16035 0 33.5641 0 1.65614 0.347817
42201.00 1297.50 14.007728 34.801869 -167850.194284 4.319903 17.921723 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2768 0.25855 1.48781 0.2497 0 5.16197 0 33.5616 0 1.65607 0.347521
42101.00 1297.31 14.016377 34.823152 -167995.687045 4.322789 17.933409 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2731 0.258603 1.4926 0.249838 0 5.16359 0 33.5591 0 1.65599 0.347223
42001.00 1297.12 14.025077 34.844562 -168141.852043 4.325692 17.945162 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2694 0.258657 1.49741 0.249976 0 5.16521 0 33.5565 0 1.65591 0.346925
41901.00 1296.93 14.033829 34.866102 -168288.695713 4.328611 17.956981 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2656 0.258711 1.50225 0.250115 0 5.16684 0 33.554 0 1.65583 0.346626
41801.00 1296.74 14.042634 34.887771 -168436.224583 4.331546 17.968868 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2619 0.258766 1.50712 0.250255 0 5.16847 0 33.5514 0 1.65574 0.346326
41701.00 1296.55 14.051493 34.909572 -168584.445274 4.334498 17.980824 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2581 0.258821 1.51202 0.250395 0 5.17011 0 33.5489 0 1.65565 0.346024
41601.00 1296.36 14.060405 34.931506 -168733.364497 4.337466 17.992848 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2543 0.258877 1.51695 0.250535 0 5.17176 0 33.5463 0 1.65555 0.345722
41501.00 1296.16 14.069371 34.953573 -168882.989059 4.340451 18.004941 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2505 0.258934 1.52191 0.250676 0 5.1734 0 33.5437 0 1.65545 0.345419
41401.00 1295.97 14.078392 34.975776 -169033.325866 4.343453 18.017105 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2467 0.258991 1.5269 0.250818 0 5.17506 0 33.5411 0 1.65534 0.345114
41301.00 1295.78 14.087468 34.998116 -169184.381920 4.346472 18.029340 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2428 0.259048 1.53192 0.250959 0 5.17671 0 33.5385 0 1.65523 0.344809
41201.00 1295.59 14.096600 35.020593 -169336.164325 4.349509 18.041646 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.239 0.259107 1.53697 0.251102 0 5.17838 0 33.5359 0 1.65511 0.344503
41101.00 1295.40 14.105789 35.043210 -169488.680289 4.352562 18.054025 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2351 0.259166 1.54205 0.251245 0 5.18004 0 33.5332 0 1.65499 0.344195
41001.00 1295.21 14.115034 35.065968 -169641.937122 4.355634 18.066477 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2312 0.259225 1.54716 0.251388 0 5.18171 0 33.5306 0 1.65487 0.343887
40901.00 1295.02 14.124337 35.088868 -169795.942242 4.358723 18.079002 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2272 0.259285 1.5523 0.251532 0 5.18339 0 33.5279 0 1.65474 0.343577
40801.00 1294.83 14.133699 35.111911 -169950.703175 4.361830 18.091602 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2233 0.259345 1.55747 0.251677 0 5.18507 0 33.5253 0 1.65461 0.343267
40701.00 1294.64 14.143119 35.135100 -170106.227558 4.364955 18.104278 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2193 0.259406 1.56268 0.251822 0 5.18676 0 33.5226 0 1.65447 0.342955
40601.00 1294.45 14.152598 35.158435 -170262.523143 4.368099 18.117029 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2153 0.259468 1.56791 0.251967 0 5.18845 0 33.5199 0 1.65432 0.342642
40501.00 1294.26 14.162137 35.181918 -170419.597794 4.371261 18.129858 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2113 0.25953 1.57318 0.252113 0 5.19014 0 33.5172 0 1.65418 0.342328
40401.00 1294.06 14.171737 35.205551 -170577.459495 4.374442 18.142764 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2073 0.259593 1.57848 0.252259 0 5.19184 0 33.5145 0 1.65402 0.342013
40301.00 1293.87 14.181398 35.229334 -170736.116348 4.377641 18.155748 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.2032 0.259656 1.58381 0.252406 0 5.19355 0 33.5118 0 1.65387 0.341697
40201.00 1293.68 14.191120 35.253271 -170895.576578 4.380860 18.168812 opx Na0.02Ca0.06Fe''0.15Mg1.72Fe'''0.01Ti0.01Al0.06Si1.97O6 57.1991 0.25972 1.58918 0.252553 0 5.19526 0 33.5091 0 1.6537 0.34138
