Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
5501.00 1215.90 0.170252 0.460040 -2171.590245 0.064535 0.259337 3.111 55.5311 0.700733 18.9041 0.272278 0.0973116 3.79994 0.00502008 7.7957 0.00261667 8.85284 4.0384
5401.00 1215.20 0.354238 0.956243 -4520.643481 0.134261 0.539635 3.116 55.5255 0.701616 18.8886 0.279803 0.0946879 3.807 0.00491366 7.80891 0.00255934 8.98352 3.90286
5301.00 1214.46 0.551971 1.488524 -7047.621275 0.209183 0.840914 3.122 55.5209 0.702172 18.8729 0.287447 0.0921721 3.8132 0.00480837 7.8208 0.0025026 9.11343 3.76962
5201.00 1213.69 0.763460 2.056790 -9752.948684 0.289307 1.163188 3.128 55.5174 0.702414 18.8571 0.295207 0.0897659 3.8185 0.00470427 7.83132 0.00244649 9.24243 3.63874
5101.00 1212.89 0.988721 2.660959 -12637.115618 0.374641 1.506477 3.134 55.5151 0.702356 18.841 0.303082 0.0874706 3.82287 0.00460144 7.84045 0.00239104 9.37036 3.51032
5001.00 1212.05 1.218367 3.275679 -15580.414664 0.461632 1.856476 3.141 55.5142 0.702005 18.8246 0.311065 0.0852847 3.82629 0.00449992 7.84819 0.00233629 9.49711 3.3844
4901.00 1211.18 1.226437 3.293993 -15691.860954 0.464667 1.868866 3.148 55.5135 0.701252 18.8084 0.319128 0.0831404 3.82919 0.00439941 7.85501 0.00228211 9.62395 3.25977
4801.00 1210.30 1.234016 3.310909 -15797.163988 0.467517 1.880501 3.155 55.5128 0.700106 18.7924 0.327268 0.0810364 3.83159 0.00429995 7.86093 0.0022285 9.75093 3.13637
4701.00 1209.38 1.241077 3.326363 -15895.992261 0.470174 1.891343 3.162 55.5122 0.698574 18.7766 0.335482 0.0789712 3.83352 0.00420155 7.86601 0.00217549 9.87809 3.01414
4601.00 1208.45 1.247595 3.340292 -15988.001104 0.472628 1.901354 3.170 55.5116 0.696668 18.761 0.343769 0.0769434 3.83503 0.00410422 7.87028 0.00212309 10.0055 2.89301
4501.00 1207.49 1.253544 3.352627 -16072.837128 0.474867 1.910493 3.177 55.5109 0.694397 18.7454 0.352126 0.0749513 3.83616 0.004008 7.87379 0.00207131 10.1333 2.77289
4401.00 1206.51 1.258897 3.363302 -16150.145663 0.476883 1.918721 3.185 55.5101 0.691777 18.73 0.360553 0.0729934 3.83694 0.00391291 7.87658 0.00202017 10.2615 2.65369
4301.00 1205.51 1.263630 3.372255 -16219.582299 0.478664 1.925999 3.192 55.509 0.688824 18.7146 0.36905 0.071068 3.83744 0.00381896 7.87871 0.00196969 10.3902 2.53534
4201.00 1204.50 1.267719 3.379428 -16280.829956 0.480202 1.932294 3.200 55.5076 0.685554 18.6993 0.377618 0.0691737 3.8377 0.00372618 7.88023 0.00191987 10.5195 2.41773
4101.00 1203.47 1.271145 3.384776 -16333.623350 0.481490 1.937575 3.208 55.5057 0.681989 18.6839 0.386259 0.0673091 3.83778 0.0036346 7.88119 0.00187073 10.6496 2.30077
4001.00 1202.42 1.273896 3.388271 -16377.782722 0.482522 1.941825 3.216 55.5032 0.678149 18.6685 0.394977 0.065473 3.83773 0.00354424 7.88165 0.00182229 10.7806 2.18436
3901.00 1201.37 1.275971 3.389913 -16413.258820 0.483297 1.945042 3.224 55.5001 0.674058 18.6529 0.403775 0.0636647 3.83762 0.00345513 7.88165 0.00177457 10.9126 2.06843
