Title: Depleted MORB Mantle of Workmann & Hart 2005

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 
5601.00 1216.57 97.952744 0.000000 58.795289 22.263830 11.923015 1.859899 3.110711 
5501.00 1215.90 97.952744 0.170252 58.854347 22.188365 11.821202 1.822068 3.096510 
5401.00 1215.20 97.952744 0.354238 58.920753 22.101062 11.714754 1.780567 3.081369 
5301.00 1214.46 97.952744 0.551971 58.995206 22.001152 11.603307 1.735925 3.065182 
5201.00 1213.69 97.952744 0.763460 59.078390 21.887893 11.486497 1.688660 3.047843 
5101.00 1212.89 97.952744 0.988721 59.170964 21.760577 11.363969 1.639262 3.029250 
5001.00 1212.05 97.943458 1.218367 59.273312 21.618809 11.235563 1.588054 3.009353 
4901.00 1211.18 97.702112 1.226437 59.379606 21.469088 11.105591 1.532038 2.989351 
4801.00 1210.30 97.450176 1.234016 59.490011 21.311248 10.974093 1.471558 2.969250 
4701.00 1209.38 97.188041 1.241077 59.604667 21.145170 10.841118 1.406955 2.949054 
4601.00 1208.45 96.916125 1.247595 59.723685 20.970774 10.706725 1.338574 2.928772 
4501.00 1207.49 96.634879 1.253544 59.847153 20.788028 10.570980 1.266761 2.908412 
4401.00 1206.51 96.344782 1.258897 59.975130 20.596942 10.433956 1.191871 2.887985 
4301.00 1205.51 96.046348 1.263630 60.107654 20.397573 10.295728 1.114265 2.867498 
4201.00 1204.50 95.740119 1.267719 60.244740 20.190019 10.156369 1.034313 2.846960 
4101.00 1203.47 95.426667 1.271145 60.386385 19.974419 10.015948 0.952397 2.826373 
4001.00 1202.42 95.106588 1.273896 60.532575 19.750945 9.874519 0.868915 2.805737 
3901.00 1201.37 94.780496 1.275971 60.683290 19.519798 9.732118 0.784276 2.785043 
3801.00 1200.30 94.449015 1.277382 60.838520 19.281191 9.588747 0.698907 2.764269 
3701.00 1199.22 94.112761 1.278162 60.998270 19.035335 9.444367 0.613244 2.743383 
3601.00 1198.13 93.772322 1.278371 61.162583 18.782416 9.298886 0.527735 2.722331 
3501.00 1197.03 93.428234 1.278102 61.331557 18.522567 9.152139 0.442826 2.701042 
3401.00 1195.93 93.080941 1.277490 61.505371 18.255829 9.003882 0.358953 2.679417 
3301.00 1194.82 92.730759 1.276717 61.684304 17.982114 8.853771 0.276522 2.657331 
3201.00 1193.71 92.377820 1.276020 61.868768 17.701151 8.701357 0.195893 2.634631 
3101.00 1192.58 92.022020 1.275690 62.059332 17.412441 8.546075 0.117348 2.611135 
3001.00 1191.44 91.662959 1.276072 62.256744 17.115200 8.387244 0.041067 2.586633 
2901.00 1190.38 91.299886 1.240957 62.463686 16.825720 8.214250 0.000000 2.555274 
2801.00 1189.39 90.968616 1.204518 62.683852 16.543341 8.021897 0.000000 2.515008 
2701.00 1188.35 90.670806 1.219360 62.919188 16.241159 7.819124 0.000000 2.471975 
2601.00 1187.27 90.354996 1.234724 63.170452 15.918174 7.605582 0.000000 2.426065 
2501.00 1186.13 90.020477 1.250291 63.438181 15.573671 7.381122 0.000000 2.377212 
2401.00 1184.94 89.666855 1.265618 63.722588 15.207363 7.145866 0.000000 2.325419 
2301.00 1183.70 89.294179 1.280134 64.023444 14.819532 6.900289 0.000000 2.270779 
2201.00 1182.41 88.903075 1.293161 64.339976 14.411175 6.645277 0.000000 2.213486 
2101.00 1181.09 88.494863 1.303955 64.670790 13.984097 6.382165 0.000000 2.153856 
2001.00 1179.73 88.071625 1.311782 65.013858 13.540940 6.112726 0.000000 2.092319 
1901.00 1178.34 87.636204 1.316010 65.366561 13.085115 5.839109 0.000000 2.029410 
1801.00 1176.94 87.192116 1.316188 65.725822 12.620644 5.563721 0.000000 1.965742 
1701.00 1175.54 86.743362 1.312108 66.088276 12.151923 5.289087 0.000000 1.901968 
1601.00 1174.15 86.294195 1.303826 66.450481 11.683460 5.017686 0.000000 1.838743 
1501.00 1172.77 85.848858 1.291630 66.809111 11.219610 4.751820 0.000000 1.776687 
1401.00 1171.43 85.411341 1.275994 67.161119 10.764370 4.493503 0.000000 1.716356 
1301.00 1170.13 84.985199 1.257504 67.503843 10.321230 4.244401 0.000000 1.658223 
1201.00 1168.87 84.573430 1.236796 67.835078 9.893084 4.005805 0.000000 1.602666 
1101.00 1167.66 84.178418 1.214507 68.153094 9.482207 3.778639 0.000000 1.549971 
1001.00 1166.50 83.801930 1.191236 68.456627 9.090258 3.563479 0.000000 1.500330 
901.00 1165.40 83.445145 1.167525 68.744856 8.718321 3.360593 0.000000 1.453851 
801.00 1164.35 83.108708 1.143844 69.017355 8.366960 3.169983 0.000000 1.410565 
701.00 1163.36 82.792791 1.120592 69.274052 8.036279 2.991430 0.000000 1.370439 
601.00 1162.42 82.497171 1.098086 69.515166 7.725995 2.824539 0.000000 1.333386 
501.00 1161.53 82.221299 1.076572 69.741157 7.435516 2.668779 0.000000 1.299275 
401.00 1160.70 81.964370 1.056223 69.952670 7.164004 2.523526 0.000000 1.267947 
301.00 1159.91 81.725401 1.037150 70.150478 6.910454 2.388099 0.000000 1.239220 
201.00 1159.16 81.503285 1.019405 70.335437 6.673751 2.261790 0.000000 1.212902 
101.00 1158.45 81.296849 1.002996 70.508446 6.452724 2.143885 0.000000 1.188797 
1.00 1157.78 81.104901 0.987897 70.670410 6.246189 2.033690 0.000000 1.166714 
