Title: Depleted MORB Mantle of Workmann & Hart 2005

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O 
5601.00 1216.57 97.952744 44.406 0.117981 3.63774 0.190075 0.57913 8.09269 0.132581 39.3698 0.244945 3.06248 0.166615
5501.00 1215.90 97.782491 44.3866 0.116966 3.61116 0.189932 0.579969 8.10016 0.132803 39.4247 0.245367 3.0524 0.159874
5401.00 1215.20 97.598505 44.3656 0.115863 3.58239 0.189749 0.580888 8.10825 0.133044 39.4843 0.245825 3.04099 0.153054
5301.00 1214.46 97.400773 44.343 0.11467 3.55141 0.189523 0.58189 8.11694 0.133305 39.5485 0.246319 3.02819 0.146197
5201.00 1213.69 97.189283 44.3187 0.11339 3.51819 0.189249 0.582974 8.12627 0.133586 39.6175 0.24685 3.01394 0.13934
5101.00 1212.89 96.964023 44.2927 0.112022 3.48272 0.188923 0.584143 8.13623 0.133886 39.6912 0.247418 2.99816 0.13252
5001.00 1212.05 96.725091 44.265 0.110568 3.44499 0.18854 0.585398 8.14684 0.134207 39.7698 0.248024 2.98082 0.125762
4901.00 1211.18 96.475675 44.2359 0.109049 3.40543 0.188121 0.586718 8.15797 0.134543 39.8523 0.24866 2.96236 0.118922
4801.00 1210.30 96.216160 44.2055 0.107466 3.36409 0.187663 0.588103 8.16962 0.134896 39.9385 0.249325 2.94277 0.112033
4701.00 1209.38 95.946964 44.1738 0.105823 3.32101 0.187165 0.589553 8.18176 0.135263 40.0284 0.250019 2.92202 0.105129
4601.00 1208.45 95.668530 44.1408 0.104123 3.27623 0.186625 0.591065 8.1944 0.135646 40.122 0.250741 2.90012 0.0982422
4501.00 1207.49 95.381335 44.1066 0.102369 3.22981 0.186042 0.592639 8.20751 0.136043 40.219 0.251491 2.87704 0.0914058
4401.00 1206.51 95.085885 44.0712 0.100564 3.18181 0.185415 0.594274 8.22108 0.136455 40.3195 0.252266 2.8528 0.084652
4301.00 1205.51 94.782718 44.0346 0.0987123 3.13228 0.184741 0.595967 8.2351 0.13688 40.4233 0.253067 2.82739 0.0780127
4201.00 1204.50 94.472401 43.9969 0.0968178 3.0813 0.184021 0.597716 8.24954 0.137318 40.5301 0.253893 2.80081 0.0715192
4101.00 1203.47 94.155522 43.9582 0.0948846 3.02895 0.183253 0.59952 8.26439 0.137769 40.64 0.254741 2.77307 0.0652021
4001.00 1202.42 93.832692 43.9185 0.0929168 2.9753 0.182436 0.601376 8.27962 0.138232 40.7527 0.255612 2.7442 0.059091
3901.00 1201.37 93.504525 43.8779 0.0909187 2.92043 0.18157 0.603282 8.29521 0.138706 40.8681 0.256503 2.71419 0.0532141
3801.00 1200.30 93.171633 43.8364 0.0888944 2.86444 0.180654 0.605234 8.31114 0.13919 40.9859 0.257414 2.68308 0.0475978
3701.00 1199.22 92.834599 43.7942 0.0868478 2.80739 0.179688 0.607231 8.32738 0.139684 41.1061 0.258343 2.65087 0.0422664
3601.00 1198.13 92.493951 43.7512 0.0847826 2.74938 0.178672 0.60927 8.34392 0.140188 41.2285 0.259289 2.61758 0.0372413
3501.00 1197.03 92.150132 43.7075 0.0827017 2.69045 0.177604 0.611348 8.36073 0.1407 41.353 0.260251 2.58324 0.0325402
3401.00 1195.93 91.803452 43.6631 0.0806072 2.63065 0.176484 0.613466 8.37781 0.141221 41.4794 0.261228 2.54783 0.0281771
3301.00 1194.82 91.454042 43.6181 0.0785004 2.57 0.175311 0.615622 8.39516 0.14175 41.6078 0.262221 2.51135 0.0241612
3201.00 1193.71 91.101800 43.5724 0.076381 2.50845 0.174082 0.617818 8.41278 0.142288 41.7383 0.26323 2.47376 0.0204966
3101.00 1192.58 90.746330 43.526 0.0742471 2.44594 0.172795 0.620056 8.4307 0.142835 41.871 0.264256 2.435 0.0171823
