Title: Depleted MORB Mantle of Workmann & Hart 2005

System Thermodynamic Data:
Pressure Temperature mass F phi S H V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
5601.00 1216.57 97.952744 0.0000000000000000 0.000000 239.361352 -1253731.810524 30.510878 123.844899 -23.254703 1368.878161 -9.233 -9.233 0.000000 3.210420 0.000 0 0.000
5501.00 1215.90 97.952744 0.0017381058304293 0.002114 239.361352 -1254036.973304 30.521786 123.892712 -23.530826 1370.643244 -9.952 -9.952 2.638142 3.210483 3.111 0 0.000
5401.00 1215.20 97.952744 0.0036164187883106 0.004397 239.361352 -1254342.248483 30.533365 123.944026 -23.829801 1372.541552 -9.906 -9.906 2.638436 3.210572 3.116 0 0.000
5301.00 1214.46 97.952744 0.0056350728638943 0.006848 239.361352 -1254647.642982 30.545657 123.998839 -24.152013 1374.570648 -9.861 -9.861 2.638697 3.210682 3.122 0 0.000
5201.00 1213.69 97.952744 0.0077941683581064 0.009467 239.361352 -1254953.164135 30.558703 124.057145 -24.497850 1376.727917 -9.817 -9.817 2.638924 3.210810 3.128 0 0.000
5101.00 1212.89 97.952744 0.0100938525468190 0.012254 239.361352 -1255258.819680 30.572542 124.118944 -24.867712 1379.010672 -9.773 -9.773 2.639112 3.210952 3.134 0 0.000
5001.00 1212.05 97.943458 0.0124394898550887 0.015094 239.336360 -1255445.895819 30.583676 124.170054 -25.243802 1381.200590 -9.730 -9.730 2.639260 3.211106 3.141 0 0.000
4901.00 1211.18 97.702112 0.0125528246390766 0.015231 238.687483 -1252664.577471 30.507265 123.870255 -25.188286 1378.139221 -9.689 -9.689 2.639391 3.211296 3.148 0 0.000
4801.00 1210.30 97.450176 0.0126630441652122 0.015365 238.010829 -1249745.337946 30.427227 123.556890 -25.128304 1374.949766 -9.649 -9.649 2.639508 3.211518 3.155 0 0.000
4701.00 1209.38 97.188041 0.0127698534131413 0.015495 237.307510 -1246692.987150 30.343708 123.230443 -25.064052 1371.637692 -9.609 -9.609 2.639610 3.211772 3.162 0 0.000
