Title: Depleted MORB Mantle of Workmann & Hart 2005

System Thermodynamic Data:
Pressure Temperature mass F phi S H V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
44001.00 1317.20 100.138999 0.0000000000000000 0.000000 246.612502 -1162233.644126 30.057127 124.247869 -19.875396 1406.551884 -6.494 -6.494 0.000000 3.331622 0.000 0 0.000
43901.00 1317.01 100.138999 0.0000000000000000 0.000000 246.612502 -1162534.225006 30.059049 124.254119 -19.882381 1406.485864 -6.499 -6.499 0.000000 3.331409 0.000 0 0.000
43801.00 1316.82 100.138999 0.0000000000000000 0.000000 246.612502 -1162834.825116 30.060973 124.260369 -19.889370 1406.419983 -6.503 -6.503 0.000000 3.331196 0.000 0 0.000
43701.00 1316.62 100.138999 0.0000000000000000 0.000000 246.612502 -1163135.444477 30.062899 124.266619 -19.896364 1406.354241 -6.508 -6.508 0.000000 3.330983 0.000 0 0.000
43601.00 1316.43 100.138999 0.0000000000000000 0.000000 246.612502 -1163436.083109 30.064827 124.272869 -19.903362 1406.288640 -6.513 -6.513 0.000000 3.330769 0.000 0 0.000
43501.00 1316.24 100.138999 0.0000000000000000 0.000000 246.612502 -1163736.741033 30.066758 124.279120 -19.910364 1406.223182 -6.518 -6.518 0.000000 3.330555 0.000 0 0.000
43401.00 1316.04 100.138999 0.0000000000000000 0.000000 246.612502 -1164037.418271 30.068690 124.285370 -19.917372 1406.157867 -6.522 -6.522 0.000000 3.330341 0.000 0 0.000
43301.00 1315.85 100.138999 0.0000000000000000 0.000000 246.612502 -1164338.114844 30.070625 124.291621 -19.924383 1406.092696 -6.527 -6.527 0.000000 3.330127 0.000 0 0.000
43201.00 1315.65 100.138999 0.0000000000000000 0.000000 246.612502 -1164638.830773 30.072561 124.297871 -19.931400 1406.027671 -6.532 -6.532 0.000000 3.329913 0.000 0 0.000
43101.00 1315.46 100.138999 0.0000000000000000 0.000000 246.612502 -1164939.566080 30.074500 124.304122 -19.938421 1405.962793 -6.536 -6.536 0.000000 3.329698 0.000 0 0.000
43001.00 1315.27 100.138999 0.0000000000000000 0.000000 246.612502 -1165240.320786 30.076441 124.310373 -19.945448 1405.898062 -6.541 -6.541 0.000000 3.329483 0.000 0 0.000
42901.00 1315.07 100.138999 0.0000000000000000 0.000000 246.612502 -1165541.094914 30.078385 124.316624 -19.952479 1405.833482 -6.546 -6.546 0.000000 3.329268 0.000 0 0.000
42801.00 1314.88 100.138999 0.0000000000000000 0.000000 246.612502 -1165841.888485 30.080330 124.322876 -19.959514 1405.769051 -6.551 -6.551 0.000000 3.329053 0.000 0 0.000
42701.00 1314.69 100.138999 0.0000000000000000 0.000000 246.612502 -1166142.701522 30.082278 124.329128 -19.966555 1405.704773 -6.556 -6.556 0.000000 3.328837 0.000 0 0.000
42601.00 1314.49 100.138999 0.0000000000000000 0.000000 246.612502 -1166443.534046 30.084228 124.335380 -19.973601 1405.640648 -6.560 -6.560 0.000000 3.328621 0.000 0 0.000
42501.00 1314.30 100.138999 0.0000000000000000 0.000000 246.612502 -1166744.386080 30.086180 124.341632 -19.980652 1405.576677 -6.565 -6.565 0.000000 3.328405 0.000 0 0.000
42401.00 1314.11 100.138999 0.0000000000000000 0.000000 246.612502 -1167045.257647 30.088134 124.347885 -19.987708 1405.512862 -6.570 -6.570 0.000000 3.328189 0.000 0 0.000
42301.00 1313.91 100.138999 0.0000000000000000 0.000000 246.612502 -1167346.148769 30.090091 124.354138 -19.994769 1405.449204 -6.575 -6.575 0.000000 3.327973 0.000 0 0.000
42201.00 1313.72 100.138999 0.0000000000000000 0.000000 246.612502 -1167647.059470 30.092050 124.360391 -20.001835 1405.385705 -6.580 -6.580 0.000000 3.327756 0.000 0 0.000
42101.00 1313.53 100.138999 0.0000000000000000 0.000000 246.612502 -1167947.989771 30.094011 124.366645 -20.008906 1405.322366 -6.585 -6.585 0.000000 3.327539 0.000 0 0.000
42001.00 1313.33 100.138999 0.0000000000000000 0.000000 246.612502 -1168248.939697 30.095975 124.372899 -20.015982 1405.259187 -6.590 -6.590 0.000000 3.327322 0.000 0 0.000
41901.00 1313.14 100.138999 0.0000000000000000 0.000000 246.612502 -1168549.909271 30.097941 124.379153 -20.023064 1405.196172 -6.595 -6.595 0.000000 3.327105 0.000 0 0.000
41801.00 1312.94 100.138999 0.0000000000000000 0.000000 246.612502 -1168850.898515 30.099909 124.385408 -20.030151 1405.133321 -6.599 -6.599 0.000000 3.326887 0.000 0 0.000
41701.00 1312.75 100.138999 0.0000000000000000 0.000000 246.612502 -1169151.907454 30.101879 124.391664 -20.037244 1405.070635 -6.604 -6.604 0.000000 3.326669 0.000 0 0.000
41601.00 1312.56 100.138999 0.0000000000000000 0.000000 246.612502 -1169452.936112 30.103853 124.397920 -20.044342 1405.008116 -6.609 -6.609 0.000000 3.326451 0.000 0 0.000
41501.00 1312.36 100.138999 0.0000000000000000 0.000000 246.612502 -1169753.984513 30.105828 124.404176 -20.051445 1404.945766 -6.614 -6.614 0.000000 3.326233 0.000 0 0.000
41401.00 1312.17 100.138999 0.0000000000000000 0.000000 246.612502 -1170055.052680 30.107806 124.410433 -20.058554 1404.883586 -6.619 -6.619 0.000000 3.326015 0.000 0 0.000
41301.00 1311.97 100.138999 0.0000000000000000 0.000000 246.612502 -1170356.140637 30.109786 124.416690 -20.065669 1404.821578 -6.624 -6.624 0.000000 3.325796 0.000 0 0.000
41201.00 1311.78 100.138999 0.0000000000000000 0.000000 246.612502 -1170657.248410 30.111769 124.422949 -20.072789 1404.759743 -6.629 -6.629 0.000000 3.325577 0.000 0 0.000
41101.00 1311.59 100.138999 0.0000000000000000 0.000000 246.612502 -1170958.376024 30.113754 124.429207 -20.079915 1404.698082 -6.634 -6.634 0.000000 3.325358 0.000 0 0.000
41001.00 1311.39 100.138999 0.0000000000000000 0.000000 246.612502 -1171259.523502 30.115742 124.435467 -20.087047 1404.636599 -6.639 -6.639 0.000000 3.325138 0.000 0 0.000
40901.00 1311.20 100.138999 0.0000000000000000 0.000000 246.612502 -1171560.690869 30.117732 124.441727 -20.094185 1404.575293 -6.644 -6.644 0.000000 3.324918 0.000 0 0.000
40801.00 1311.00 100.138999 0.0000000000000000 0.000000 246.612502 -1171861.878152 30.119725 124.447987 -20.101328 1404.514166 -6.649 -6.649 0.000000 3.324698 0.000 0 0.000
40701.00 1310.81 100.138999 0.0000000000000000 0.000000 246.612502 -1172163.085375 30.121720 124.454249 -20.108477 1404.453221 -6.655 -6.655 0.000000 3.324478 0.000 0 0.000
40601.00 1310.62 100.138999 0.0000000000000000 0.000000 246.612502 -1172464.312564 30.123718 124.460511 -20.115633 1404.392460 -6.660 -6.660 0.000000 3.324258 0.000 0 0.000
40501.00 1310.42 100.138999 0.0000000000000000 0.000000 246.612502 -1172765.559745 30.125719 124.466774 -20.122794 1404.331882 -6.665 -6.665 0.000000 3.324037 0.000 0 0.000
40401.00 1310.23 100.138999 0.0000000000000000 0.000000 246.612502 -1173066.826943 30.127722 124.473037 -20.129962 1404.271492 -6.670 -6.670 0.000000 3.323816 0.000 0 0.000
40301.00 1310.03 100.138999 0.0000000000000000 0.000000 246.612502 -1173368.114185 30.129727 124.479302 -20.137135 1404.211290 -6.675 -6.675 0.000000 3.323595 0.000 0 0.000
40201.00 1309.84 100.138999 0.0000000000000000 0.000000 246.612502 -1173669.421497 30.131736 124.485567 -20.144315 1404.151278 -6.680 -6.680 0.000000 3.323373 0.000 0 0.000
