Title: Depleted MORB Mantle of Workmann & Hart 2005

System Thermodynamic Data:
Pressure Temperature mass F phi S H V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2(absolute) rhol rhos viscosity aH2O chisqr
44001.00 1360.68 100.138999 0.0000000000000000 0.000000 250.029455 -1156725.500004 30.124615 124.590540 -19.888580 1426.847559 -6.194 -6.194 0.000000 3.324159 0.000 0 0.000
43901.00 1360.48 100.138999 0.0000000000000000 0.000000 250.029455 -1157026.755796 30.126544 124.597048 -19.895619 1426.780032 -6.198 -6.198 0.000000 3.323946 0.000 0 0.000
43801.00 1360.27 100.138999 0.0000000000000000 0.000000 250.029455 -1157328.030893 30.128476 124.603556 -19.902663 1426.712658 -6.203 -6.203 0.000000 3.323733 0.000 0 0.000
43701.00 1360.07 100.138999 0.0000000000000000 0.000000 250.029455 -1157629.325317 30.130409 124.610064 -19.909712 1426.645438 -6.208 -6.208 0.000000 3.323519 0.000 0 0.000
43601.00 1359.87 100.138999 0.0000000000000000 0.000000 250.029455 -1157930.639090 30.132346 124.616572 -19.916765 1426.578373 -6.213 -6.213 0.000000 3.323306 0.000 0 0.000
43501.00 1359.67 100.138999 0.0000000000000000 0.000000 250.029455 -1158231.972236 30.134284 124.623081 -19.923824 1426.511465 -6.217 -6.217 0.000000 3.323092 0.000 0 0.000
43401.00 1359.47 100.138999 0.0000000000000000 0.000000 250.029455 -1158533.324777 30.136225 124.629590 -19.930888 1426.444715 -6.222 -6.222 0.000000 3.322878 0.000 0 0.000
43301.00 1359.26 100.138999 0.0000000000000000 0.000000 250.029455 -1158834.696736 30.138168 124.636099 -19.937956 1426.378124 -6.227 -6.227 0.000000 3.322664 0.000 0 0.000
43201.00 1359.06 100.138999 0.0000000000000000 0.000000 250.029455 -1159136.088136 30.140113 124.642609 -19.945030 1426.311694 -6.232 -6.232 0.000000 3.322449 0.000 0 0.000
43101.00 1358.86 100.138999 0.0000000000000000 0.000000 250.029455 -1159437.499001 30.142060 124.649119 -19.952110 1426.245426 -6.237 -6.237 0.000000 3.322235 0.000 0 0.000
