Title: Depleted MORB Mantle of Workmann & Hart 2005

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 
44001.00 1379.39 100.138985 0.000000 59.090537 13.139765 13.816242 13.040829 0.000000 0.000000 1.051611 
43901.00 1379.19 100.138985 0.000000 59.089693 13.129540 13.824428 13.042808 0.000000 0.000000 1.052515 
43801.00 1378.98 100.138985 0.000000 59.088842 13.119242 13.832663 13.044810 0.000000 0.000000 1.053427 
43701.00 1378.77 100.138985 0.000000 59.087984 13.108871 13.840946 13.046836 0.000000 0.000000 1.054347 
43601.00 1378.57 100.138985 0.000000 59.087118 13.098427 13.849279 13.048887 0.000000 0.000000 1.055275 
43501.00 1378.36 100.138985 0.000000 59.086245 13.087908 13.857661 13.050961 0.000000 0.000000 1.056210 
43401.00 1378.16 100.138985 0.000000 59.085364 13.077314 13.866093 13.053061 0.000000 0.000000 1.057154 
43301.00 1377.95 100.138985 0.000000 59.084476 13.066643 13.874575 13.055185 0.000000 0.000000 1.058106 
43201.00 1377.75 100.138985 0.000000 59.083580 13.055896 13.883109 13.057334 0.000000 0.000000 1.059065 
43101.00 1377.54 100.138985 0.000000 59.082676 13.045072 13.891694 13.059509 0.000000 0.000000 1.060034 
43001.00 1377.33 100.138985 0.000000 59.081765 13.034169 13.900331 13.061709 0.000000 0.000000 1.061011 
42901.00 1377.13 100.138985 0.000000 59.080845 13.023187 13.909020 13.063936 0.000000 0.000000 1.061996 
42801.00 1376.92 100.138985 0.000000 59.079917 13.012126 13.917763 13.066188 0.000000 0.000000 1.062990 
42701.00 1376.72 100.138985 0.000000 59.078981 13.000984 13.926559 13.068467 0.000000 0.000000 1.063993 
42601.00 1376.51 100.138985 0.000000 59.078036 12.989760 13.935410 13.070773 0.000000 0.000000 1.065005 
42501.00 1376.30 100.138985 0.000000 59.077083 12.978454 13.944315 13.073106 0.000000 0.000000 1.066027 
42401.00 1376.10 100.138985 0.000000 59.076122 12.967066 13.953275 13.075465 0.000000 0.000000 1.067057 
42301.00 1375.89 100.138985 0.000000 59.075151 12.955593 13.962291 13.077853 0.000000 0.000000 1.068097 
42201.00 1375.69 100.138985 0.000000 59.074172 12.944035 13.971363 13.080268 0.000000 0.000000 1.069146 
42101.00 1375.48 100.138985 0.000000 59.073183 12.932392 13.980493 13.082712 0.000000 0.000000 1.070205 
42001.00 1375.27 100.138985 0.000000 59.072185 12.920662 13.989679 13.085183 0.000000 0.000000 1.071274 
41901.00 1375.07 100.138985 0.000000 59.071178 12.908845 13.998924 13.087684 0.000000 0.000000 1.072353 
41801.00 1374.86 100.138985 0.000000 59.070162 12.896940 14.008228 13.090213 0.000000 0.000000 1.073442 
41701.00 1374.65 100.138985 0.000000 59.069136 12.884945 14.017590 13.092772 0.000000 0.000000 1.074541 
41601.00 1374.45 100.138985 0.000000 59.068100 12.872860 14.027013 13.095360 0.000000 0.000000 1.075651 
41501.00 1374.24 100.138985 0.000000 59.067054 12.860684 14.036496 13.097979 0.000000 0.000000 1.076771 
41401.00 1374.04 100.138985 0.000000 59.065999 12.848416 14.046041 13.100627 0.000000 0.000000 1.077902 
41301.00 1373.83 100.138985 0.000000 59.064933 12.836055 14.055647 13.103306 0.000000 0.000000 1.079044 
41201.00 1373.62 100.138985 0.000000 59.063856 12.823599 14.065316 13.106016 0.000000 0.000000 1.080197 
41101.00 1373.42 100.138985 0.000000 59.062769 12.811049 14.075048 13.108757 0.000000 0.000000 1.081361 
41001.00 1373.21 100.138985 0.000000 59.061672 12.798403 14.084843 13.111530 0.000000 0.000000 1.082537 
40901.00 1373.00 100.138985 0.000000 59.060563 12.785659 14.094704 13.114334 0.000000 0.000000 1.083724 
40801.00 1372.80 100.138985 0.000000 59.059444 12.772818 14.104629 13.117171 0.000000 0.000000 1.084923 
40701.00 1372.59 100.138985 0.000000 59.058313 12.759877 14.114621 13.120040 0.000000 0.000000 1.086134 
40601.00 1372.38 100.138985 0.000000 59.057171 12.746836 14.124679 13.122942 0.000000 0.000000 1.087357 
40501.00 1372.18 100.138985 0.000000 59.056018 12.733693 14.134804 13.125877 0.000000 0.000000 1.088592 
