Title: Depleted MORB Mantle of Workmann & Hart 2005

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 garnet_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 
44001.00 1456.43 100.138999 0.000000 59.088178 12.759606 13.559448 13.646242 0.000000 1.085526 
43901.00 1456.21 100.138999 0.000000 59.087093 12.747550 13.567240 13.650464 0.000000 1.086653 
43801.00 1455.98 100.138999 0.000000 59.085998 12.735407 13.575079 13.654725 0.000000 1.087791 
43701.00 1455.76 100.138999 0.000000 59.084893 12.723176 13.582966 13.659026 0.000000 1.088939 
43601.00 1455.54 100.138999 0.000000 59.083778 12.710856 13.590901 13.663367 0.000000 1.090097 
43501.00 1455.32 100.138999 0.000000 59.082653 12.698446 13.598885 13.667748 0.000000 1.091266 
43401.00 1455.10 100.138999 0.000000 59.081518 12.685946 13.606918 13.672170 0.000000 1.092446 
43301.00 1454.87 100.138999 0.000000 59.080373 12.673354 13.615001 13.676634 0.000000 1.093637 
43201.00 1454.65 100.138999 0.000000 59.079217 12.660670 13.623134 13.681139 0.000000 1.094839 
43101.00 1454.43 100.138999 0.000000 59.078050 12.647892 13.631318 13.685686 0.000000 1.096053 
43001.00 1454.21 100.138999 0.000000 59.076872 12.635020 13.639553 13.690276 0.000000 1.097277 
42901.00 1453.99 100.138999 0.000000 59.075683 12.622053 13.647840 13.694909 0.000000 1.098514 
42801.00 1453.76 100.138999 0.000000 59.074483 12.608989 13.656179 13.699585 0.000000 1.099762 
42701.00 1453.54 100.138999 0.000000 59.073272 12.595828 13.664572 13.704305 0.000000 1.101022 
42601.00 1453.32 100.138999 0.000000 59.072049 12.582568 13.673017 13.709070 0.000000 1.102295 
42501.00 1453.10 100.138999 0.000000 59.070814 12.569209 13.681517 13.713879 0.000000 1.103579 
42401.00 1452.87 100.138999 0.000000 59.069568 12.555749 13.690072 13.718734 0.000000 1.104877 
42301.00 1452.65 100.138999 0.000000 59.068309 12.542188 13.698681 13.723634 0.000000 1.106186 
42201.00 1452.43 100.138999 0.000000 59.067038 12.528524 13.707347 13.728581 0.000000 1.107509 
42101.00 1452.20 100.138999 0.000000 59.065755 12.514757 13.716069 13.733574 0.000000 1.108845 
42001.00 1451.98 100.138999 0.000000 59.064459 12.500884 13.724848 13.738614 0.000000 1.110194 
41901.00 1451.76 100.138999 0.000000 59.063150 12.486906 13.733685 13.743702 0.000000 1.111557 
41801.00 1451.54 100.138999 0.000000 59.061828 12.472820 13.742580 13.748838 0.000000 1.112933 
41701.00 1451.31 100.138999 0.000000 59.060493 12.458626 13.751534 13.754023 0.000000 1.114323 
41601.00 1451.09 100.138999 0.000000 59.059145 12.444323 13.760547 13.759256 0.000000 1.115728 
41501.00 1450.87 100.138999 0.000000 59.057782 12.429909 13.769621 13.764540 0.000000 1.117146 
41401.00 1450.64 100.138999 0.000000 59.056406 12.415383 13.778757 13.769874 0.000000 1.118579 
41301.00 1450.42 100.138999 0.000000 59.055016 12.400744 13.787953 13.775258 0.000000 1.120027 
41201.00 1450.20 100.138999 0.000000 59.053612 12.385990 13.797213 13.780694 0.000000 1.121490 
41101.00 1449.97 100.138999 0.000000 59.052193 12.371120 13.806535 13.786182 0.000000 1.122969 
41001.00 1449.75 100.138999 0.000000 59.050760 12.356134 13.815921 13.791722 0.000000 1.124462 
40901.00 1449.53 100.138999 0.000000 59.049311 12.341029 13.825372 13.797315 0.000000 1.125972 
40801.00 1449.30 100.138999 0.000000 59.047847 12.325805 13.834888 13.802961 0.000000 1.127497 
40701.00 1449.08 100.138999 0.000000 59.046368 12.310460 13.844471 13.808662 0.000000 1.129039 
40601.00 1448.86 100.138999 0.000000 59.044873 12.294992 13.854120 13.814417 0.000000 1.130597 
40501.00 1448.63 100.138999 0.000000 59.043362 12.279400 13.863837 13.820228 0.000000 1.132172 
40401.00 1448.41 100.138999 0.000000 59.041835 12.263683 13.873623 13.826095 0.000000 1.133763 
40301.00 1448.18 100.138999 0.000000 59.040291 12.247839 13.883478 13.832018 0.000000 1.135373 
40201.00 1447.96 100.138999 0.000000 59.038731 12.231868 13.893403 13.837998 0.000000 1.136999 
40101.00 1447.74 100.138999 0.000000 59.037154 12.215766 13.903399 13.844036 0.000000 1.138644 
40001.00 1447.51 100.138999 0.000000 59.035559 12.199534 13.913468 13.850133 0.000000 1.140306 
39901.00 1447.29 100.138999 0.000000 59.033947 12.183168 13.923609 13.856288 0.000000 1.141988 
39801.00 1447.06 100.138999 0.000000 59.032317 12.166668 13.933823 13.862503 0.000000 1.143687 
39701.00 1446.84 100.138999 0.000000 59.030668 12.150033 13.944113 13.868779 0.000000 1.145406 
39601.00 1446.61 100.138999 0.000000 59.029002 12.133260 13.954477 13.875116 0.000000 1.147145 
39501.00 1446.39 100.138999 0.000000 59.027316 12.116347 13.964919 13.881514 0.000000 1.148903 
39401.00 1446.16 100.138999 0.000000 59.025611 12.099294 13.975438 13.887975 0.000000 1.150681 
39301.00 1445.94 100.138999 0.000000 59.023887 12.082098 13.986035 13.894500 0.000000 1.152479 
39201.00 1445.72 100.138999 0.000000 59.022143 12.064758 13.996712 13.901088 0.000000 1.154298 
39101.00 1445.49 100.138999 0.000000 59.020380 12.047272 14.007469 13.907740 0.000000 1.156138 
39001.00 1445.27 100.138999 0.000000 59.018595 12.029638 14.018308 13.914459 0.000000 1.158000 
38901.00 1445.04 100.138999 0.000000 59.016790 12.011854 14.029229 13.921243 0.000000 1.159883 
38801.00 1444.82 100.138999 0.000000 59.014964 11.993919 14.040234 13.928094 0.000000 1.161788 
38701.00 1444.59 100.138999 0.000000 59.013116 11.975830 14.051324 13.935013 0.000000 1.163716 
38601.00 1444.36 100.138999 0.000000 59.011247 11.957586 14.062499 13.942000 0.000000 1.165667 
38501.00 1444.14 100.138999 0.000000 59.009355 11.939184 14.073762 13.949057 0.000000 1.167641 
38401.00 1443.91 100.138999 0.000000 59.007440 11.920623 14.085113 13.956184 0.000000 1.169639 
38301.00 1443.69 100.138999 0.000000 59.005503 11.901901 14.096553 13.963382 0.000000 1.171661 
38201.00 1443.46 100.138999 0.000000 59.003542 11.883015 14.108084 13.970651 0.000000 1.173707 
38101.00 1443.24 100.138999 0.000000 59.001557 11.863964 14.119706 13.977993 0.000000 1.175779 
38001.00 1443.01 100.138999 0.000000 58.999548 11.844745 14.131421 13.985409 0.000000 1.177876 
37901.00 1442.78 100.138999 0.000000 58.997514 11.825356 14.143231 13.992899 0.000000 1.179998 
37801.00 1442.56 100.138999 0.000000 58.995456 11.805796 14.155137 14.000464 0.000000 1.182147 
37701.00 1442.33 100.138999 0.000000 58.993371 11.786060 14.167139 14.008105 0.000000 1.184323 
37601.00 1442.11 100.138999 0.000000 58.991261 11.766149 14.179240 14.015824 0.000000 1.186526 
37501.00 1441.88 100.138999 0.000000 58.989124 11.746058 14.191440 14.023621 0.000000 1.188756 
37401.00 1441.65 100.138999 0.000000 58.986960 11.725786 14.203741 14.031496 0.000000 1.191015 
37301.00 1441.43 100.138999 0.000000 58.984769 11.705330 14.216145 14.039452 0.000000 1.193303 
37201.00 1441.20 100.138999 0.000000 58.982549 11.684688 14.228653 14.047489 0.000000 1.195620 
37101.00 1440.97 100.138999 0.000000 58.980301 11.663857 14.241266 14.055607 0.000000 1.197967 
37001.00 1440.75 100.138999 0.000000 58.978024 11.642835 14.253987 14.063809 0.000000 1.200344 
36901.00 1440.52 100.138999 0.000000 58.975718 11.621619 14.266815 14.072095 0.000000 1.202752 
36801.00 1440.29 100.138999 0.000000 58.973382 11.600207 14.279754 14.080466 0.000000 1.205191 
36701.00 1440.06 100.138999 0.000000 58.971014 11.578595 14.292805 14.088923 0.000000 1.207662 
36601.00 1439.84 100.138999 0.000000 58.968616 11.556781 14.305969 14.097467 0.000000 1.210166 
36501.00 1439.61 100.138999 0.000000 58.966186 11.534762 14.319248 14.106100 0.000000 1.212704 
36401.00 1439.38 100.138999 0.000000 58.963723 11.512535 14.332643 14.114822 0.000000 1.215275 
36301.00 1439.15 100.138999 0.000000 58.961228 11.490098 14.346158 14.123635 0.000000 1.217880 
36201.00 1438.93 100.138999 0.000000 58.958699 11.467447 14.359792 14.132540 0.000000 1.220521 
36101.00 1438.70 100.138999 0.000000 58.956135 11.444579 14.373549 14.141538 0.000000 1.223198 
36001.00 1438.47 100.138999 0.000000 58.953537 11.421492 14.387429 14.150630 0.000000 1.225911 
35901.00 1438.24 100.138999 0.000000 58.950903 11.398182 14.401436 14.159817 0.000000 1.228661 
35801.00 1438.01 100.138999 0.000000 58.948233 11.374645 14.415570 14.169102 0.000000 1.231449 
35701.00 1437.78 100.138999 0.000000 58.945526 11.350879 14.429834 14.178484 0.000000 1.234276 
35601.00 1437.55 100.138999 0.000000 58.942781 11.326880 14.444230 14.187966 0.000000 1.237142 
35501.00 1437.33 100.138999 0.000000 58.939998 11.302645 14.458760 14.197549 0.000000 1.240048 
35401.00 1437.10 100.138999 0.000000 58.937176 11.278170 14.473426 14.207233 0.000000 1.242995 
35301.00 1436.87 100.138999 0.000000 58.934314 11.253451 14.488229 14.217021 0.000000 1.245984 
