Title: Depleted MORB Mantle of Workmann & Hart 2005

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O 
5751.00 1308.13 80.505348 43.4573 0.012479 1.12044 0.106031 0.686811 8.25652 0.158841 44.9983 0.296591 0.90659 4.3e-005
5501.00 1306.84 80.505348 43.4573 0.012479 1.12044 0.106031 0.686811 8.25652 0.158841 44.9983 0.296591 0.90659 4.3e-005
5251.00 1305.52 80.505348 43.4573 0.012479 1.12044 0.106031 0.686811 8.25652 0.158841 44.9983 0.296591 0.90659 4.3e-005
5001.00 1304.18 80.505348 43.4573 0.012479 1.12044 0.106031 0.686811 8.25652 0.158841 44.9983 0.296591 0.90659 4.3e-005
4751.00 1302.83 80.412460 43.4451 0.0122119 1.10437 0.105437 0.6875 8.25973 0.159017 45.0367 0.29693 0.892881 3.95242e-005
4501.00 1301.47 80.119078 43.4048 0.0114157 1.0537 0.103528 0.68967 8.27002 0.159577 45.1581 0.298005 0.851169 3.08e-005
4251.00 1300.12 79.826555 43.3625 0.0106635 1.00315 0.101584 0.691836 8.28047 0.160139 45.2794 0.299084 0.811097 2.39033e-005
4001.00 1298.76 79.534619 43.3183 0.00995157 0.95273 0.0996029 0.693997 8.29108 0.160705 45.4008 0.30017 0.772652 1.84733e-005
3751.00 1297.41 79.243202 43.272 0.00927698 0.902482 0.0975843 0.696153 8.30187 0.161272 45.5222 0.301261 0.735842 1.42179e-005
3501.00 1296.05 78.952451 43.2237 0.00863752 0.852491 0.0955296 0.698304 8.31281 0.161843 45.6436 0.302358 0.700689 1.09002e-005
3251.00 1294.70 78.662738 43.1734 0.00803164 0.802887 0.0934422 0.700445 8.32388 0.162415 45.7648 0.303458 0.667228 8.32788e-006
3001.00 1293.35 78.374651 43.121 0.00745831 0.753843 0.091328 0.702573 8.33508 0.162988 45.8856 0.304561 0.635497 6.34471e-006
2751.00 1292.00 78.088964 43.0668 0.00691689 0.70557 0.089195 0.704682 8.34635 0.16356 46.0057 0.305662 0.605535 4.8242e-006
2501.00 1290.69 77.599399 43.1258 0.00642408 0.66006 0.0872854 0.708652 8.37997 0.164568 46.2477 0.307577 0.57891 0
2251.00 1289.37 77.536204 43.1129 0.00631554 0.649605 0.0867987 0.709119 8.38256 0.164696 46.2745 0.307824 0.572931 0
2001.00 1288.05 77.262876 43.0548 0.00586921 0.605132 0.0846729 0.711133 8.39385 0.165253 46.3901 0.308899 0.548448 0
1751.00 1286.75 76.995633 42.9957 0.00545308 0.562365 0.0825717 0.713101 8.40503 0.165801 46.5034 0.309958 0.525728 0
1501.00 1285.47 76.735108 42.9358 0.0050663 0.521476 0.0805047 0.715019 8.41606 0.166337 46.614 0.310996 0.504705 0
1251.00 1284.20 76.481671 42.8754 0.00470769 0.482589 0.0784794 0.716886 8.4269 0.166862 46.7218 0.312012 0.485291 0
1001.00 1282.95 76.235386 42.8144 0.00437578 0.445772 0.0765008 0.718701 8.43754 0.167374 46.8267 0.313005 0.467377 0
751.00 1281.71 75.995992 42.753 0.00406879 0.411039 0.0745709 0.720466 8.44795 0.167873 46.9288 0.313976 0.450836 0
501.00 1280.48 75.762890 42.6911 0.00378475 0.378355 0.0726889 0.722187 8.45815 0.16836 47.0283 0.314927 0.435531 0
251.00 1279.26 75.535136 42.6286 0.00352149 0.347642 0.0708508 0.723871 8.46816 0.168838 47.1257 0.31586 0.421318 0
1.00 1278.04 75.311425 42.565 0.00327673 0.318788 0.0690495 0.725527 8.47802 0.169307 47.2213 0.316782 0.408046 0
