Title: Depleted MORB Mantle of Workmann & Hart 2005

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 spinel_0 
5751.00 1308.13 80.505348 0.061595 61.519609 17.413989 1.510154 
5501.00 1306.84 80.505348 0.333024 61.668418 17.033519 1.470388 
5251.00 1305.52 80.505348 0.611472 61.829803 16.633015 1.431058 
5001.00 1304.18 80.505348 0.897013 62.004232 16.211843 1.392261 
4751.00 1302.83 80.412460 1.094573 62.189245 15.774431 1.354212 
4501.00 1301.47 80.119078 1.090789 62.378221 15.332736 1.317333 
4251.00 1300.12 79.826555 1.087281 62.571301 14.886377 1.281596 
4001.00 1298.76 79.534619 1.083849 62.768497 14.435273 1.247001 
3751.00 1297.41 79.243202 1.080276 62.969668 13.979688 1.213571 
3501.00 1296.05 78.952451 1.076341 63.174501 13.520256 1.181354 
3251.00 1294.70 78.662738 1.071834 63.382503 13.057988 1.150413 
3001.00 1293.35 78.374651 1.066576 63.593009 12.594241 1.120824 
2751.00 1292.00 78.088964 1.060443 63.805209 12.130648 1.092664 
2501.00 1290.69 77.599399 0.838556 64.009291 11.685306 1.066245 
2251.00 1289.37 77.536204 1.045957 64.222475 11.226678 1.041094 
2001.00 1288.05 77.262876 1.037199 64.434585 10.773568 1.017525 
1751.00 1286.75 76.995633 1.027876 64.644829 10.327392 0.995536 
1501.00 1285.47 76.735108 1.018254 64.852592 9.889163 0.975099 
1251.00 1284.20 76.481671 1.008639 65.057482 9.459392 0.956158 
1001.00 1282.95 76.235386 0.999354 65.259365 9.038031 0.938636 
751.00 1281.71 75.995992 0.990731 65.458387 8.624437 0.922437 
501.00 1280.48 75.762890 0.983105 65.654993 8.217335 0.907457 
251.00 1279.26 75.535136 0.976825 65.849949 7.814781 0.893582 
1.00 1278.04 75.311425 0.972280 66.044385 7.414063 0.880697 
