Title: Depleted MORB Mantle of Workmann & Hart 2005

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 spinel_0 
7251.00 1339.40 80.902802 0.144019 59.288927 19.845761 0.002106 1.621989 
7001.00 1338.01 80.902802 0.421032 59.415684 19.483973 0.000000 1.582112 
6751.00 1336.62 80.902802 0.704115 59.553558 19.102581 0.000000 1.542548 
6501.00 1335.19 80.902802 0.994928 59.703668 18.700967 0.000000 1.503238 
6251.00 1333.76 80.715023 1.101142 59.861273 18.288031 0.000000 1.464578 
6001.00 1332.32 80.418062 1.098855 60.023572 17.868881 0.000000 1.426754 
5751.00 1330.88 80.120411 1.097030 60.190866 17.442792 0.000000 1.389723 
5501.00 1329.43 79.821597 1.095552 60.363407 17.009178 0.000000 1.353460 
5251.00 1327.97 79.521258 1.094278 60.541379 16.567638 0.000000 1.317962 
5001.00 1326.51 79.219171 1.093041 60.724871 16.118015 0.000000 1.283245 
4751.00 1325.04 78.915284 1.091648 60.913847 15.660439 0.000000 1.249350 
4501.00 1323.56 78.609733 1.089887 61.108125 15.195383 0.000000 1.216337 
4251.00 1322.07 78.302874 1.087537 61.307352 14.723695 0.000000 1.184290 
4001.00 1320.58 77.995290 1.084384 61.510991 14.246609 0.000000 1.153306 
3751.00 1319.09 77.687784 1.080244 61.718333 13.765716 0.000000 1.123491 
3501.00 1317.63 77.161844 0.847532 61.919757 13.299324 0.000000 1.095231 
3251.00 1316.14 77.085164 1.069144 62.132155 12.815839 0.000000 1.068027 
3001.00 1314.66 76.783859 1.061544 62.345381 12.334653 0.000000 1.042282 
2751.00 1313.20 76.487187 1.052940 62.558439 11.857759 0.000000 1.018048 
2501.00 1311.75 76.196209 1.043552 62.770430 11.386875 0.000000 0.995351 
2251.00 1310.32 75.911774 1.033665 62.980618 10.923310 0.000000 0.974180 
2001.00 1308.90 75.634454 1.023609 63.188482 10.467864 0.000000 0.954500 
1751.00 1307.51 75.364490 1.013734 63.393750 10.020761 0.000000 0.936245 
1501.00 1306.13 75.101773 1.004401 63.596427 9.581612 0.000000 0.919333 
1251.00 1304.76 74.845830 0.995969 63.796811 9.149384 0.000000 0.903667 
1001.00 1303.40 74.595820 0.988806 63.995513 8.722361 0.000000 0.889140 
751.00 1302.04 74.350519 0.983314 64.193493 8.298070 0.000000 0.875642 
501.00 1300.68 74.108288 0.979960 64.392127 7.873144 0.000000 0.863057 
251.00 1299.30 73.866997 0.979346 64.593313 7.443068 0.000000 0.851271 
1.00 1297.88 73.623890 0.982310 64.799675 7.001739 0.000000 0.840166 
