Title: Depleted MORB Mantle of Workmann & Hart 2005

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CaO Na2O
28901.00 1478.71 0.003730 0.011176 -38.333155 0.001233 0.005814 -0.014 41.9775 1.36897 8.78649 0.315411 0.672818 12.389 0.0870363 19.5727 0.0547484 4.57678 10.1985
28801.00 1478.40 0.010893 0.032628 -112.037414 0.003603 0.016981 -0.009 41.9895 1.36341 8.85202 0.315876 0.666091 12.3665 0.0862647 19.5499 0.05425 4.60018 10.156
28701.00 1478.10 0.018190 0.054475 -187.257103 0.006019 0.028360 -0.005 42.0017 1.35782 8.91761 0.316336 0.659321 12.3441 0.0854958 19.527 0.0537535 4.62382 10.1131
28601.00 1477.79 0.025623 0.076722 -264.019128 0.008481 0.039956 -0.000 42.0139 1.35219 8.98326 0.31679 0.652509 12.3217 0.0847297 19.5042 0.0532589 4.64771 10.0698
28501.00 1477.49 0.033196 0.099376 -342.350967 0.010992 0.051772 0.004 42.0262 1.34652 9.04896 0.317238 0.645655 12.2994 0.0839663 19.4813 0.0527663 4.67185 10.0261
28401.00 1477.18 0.040911 0.122443 -422.280690 0.013551 0.063811 0.009 42.0387 1.34081 9.1147 0.31768 0.638761 12.2772 0.0832057 19.4585 0.0522757 4.69623 9.98199
28301.00 1476.87 0.048769 0.145930 -503.836964 0.016159 0.076077 0.013 42.0512 1.33506 9.18049 0.318114 0.631829 12.255 0.082448 19.4356 0.0517871 4.72088 9.9375
28201.00 1476.56 0.056773 0.169844 -587.049075 0.018818 0.088575 0.018 42.0639 1.32927 9.24631 0.318542 0.624859 12.233 0.0816932 19.4128 0.0513006 4.74577 9.89262
28101.00 1476.25 0.064926 0.194192 -671.946928 0.021528 0.101308 0.022 42.0767 1.32344 9.31216 0.318961 0.617853 12.2109 0.0809414 19.3899 0.0508161 4.77093 9.84734
28001.00 1475.93 0.073230 0.218980 -758.561067 0.024289 0.114280 0.027 42.0896 1.31757 9.37804 0.319371 0.610812 12.189 0.0801927 19.3671 0.0503338 4.79635 9.80167
27901.00 1475.62 0.081688 0.244217 -846.922686 0.027104 0.127496 0.032 42.1025 1.31166 9.44394 0.319772 0.603738 12.1672 0.0794469 19.3442 0.0498535 4.82203 9.75561
27801.00 1475.30 0.090303 0.269910 -937.063637 0.029972 0.140958 0.036 42.1156 1.30572 9.50986 0.320163 0.596631 12.1454 0.0787043 19.3214 0.0493755 4.84798 9.70916
27701.00 1474.99 0.099076 0.296065 -1029.016448 0.032896 0.154673 0.041 42.1288 1.29973 9.5758 0.320544 0.589494 12.1237 0.0779648 19.2985 0.0488996 4.87419 9.66232
27601.00 1474.67 0.108012 0.322692 -1122.814329 0.035875 0.168644 0.046 42.1422 1.29371 9.64175 0.320914 0.582328 12.1021 0.0772285 19.2757 0.0484259 4.90068 9.61509
27501.00 1474.35 0.117112 0.349797 -1218.491185 0.038910 0.182875 0.051 42.1556 1.28764 9.7077 0.321272 0.575134 12.0805 0.0764955 19.2528 0.0479545 4.92744 9.56748
27401.00 1474.03 0.126379 0.377389 -1316.081628 0.042004 0.197371 0.055 42.1691 1.28154 9.77365 0.321618 0.567913 12.0591 0.0757657 19.2299 0.0474853 4.95447 9.51949
27301.00 1473.71 0.135817 0.405476 -1415.620989 0.045156 0.212137 0.060 42.1827 1.2754 9.8396 0.321951 0.560668 12.0377 0.0750392 19.207 0.0470185 4.98178 9.47111
27201.00 1473.38 0.145429 0.434066 -1517.145324 0.048368 0.227178 0.065 42.1964 1.26922 9.90554 0.32227 0.5534 12.0164 0.0743161 19.1841 0.0465539 5.00938 9.42235
27101.00 1473.06 0.155217 0.463168 -1620.691429 0.051640 0.242498 0.070 42.2103 1.263 9.97146 0.322575 0.54611 11.9952 0.0735964 19.1612 0.0460917 5.03725 9.37321
27001.00 1472.73 0.165185 0.492791 -1726.296846 0.054975 0.258102 0.074 42.2242 1.25674 10.0374 0.322864 0.5388 11.9741 0.0728802 19.1383 0.0456318 5.06541 9.32369
26901.00 1472.40 0.175335 0.522943 -1833.999874 0.058372 0.273995 0.079 42.2382 1.25044 10.1033 0.323137 0.531472 11.9531 0.0721674 19.1154 0.0451743 5.09386 9.27379
26801.00 1472.07 0.185671 0.553633 -1943.839573 0.061834 0.290182 0.084 42.2524 1.24411 10.1691 0.323394 0.524127 11.9321 0.0714581 19.0925 0.0447192 5.1226 9.22353
26701.00 1471.74 0.196197 0.584870 -2055.855779 0.065361 0.306670 0.089 42.2666 1.23773 10.235 0.323633 0.516767 11.9113 0.0707524 19.0695 0.0442665 5.15163 9.17289
26601.00 1471.41 0.206915 0.616665 -2170.089100 0.068954 0.323462 0.094 42.2809 1.23132 10.3008 0.323854 0.509394 11.8905 0.0700502 19.0465 0.0438163 5.18096 9.12188
26501.00 1471.07 0.217830 0.649026 -2286.580929 0.072615 0.340564 0.099 42.2953 1.22487 10.3665 0.324055 0.502009 11.8699 0.0693517 19.0235 0.0433686 5.21058 9.0705
26401.00 1470.74 0.228944 0.681963 -2405.373447 0.076345 0.357982 0.104 42.3099 1.21838 10.4322 0.324236 0.494614 11.8493 0.0686569 19.0005 0.0429233 5.24051 9.01876
26301.00 1470.40 0.240261 0.715485 -2526.509623 0.080145 0.375721 0.109 42.3245 1.21185 10.4979 0.324396 0.487212 11.8288 0.0679657 18.9775 0.0424806 5.27073 8.96665
26201.00 1470.06 0.251784 0.749604 -2650.033215 0.084017 0.393788 0.114 42.3392 1.20528 10.5635 0.324534 0.479803 11.8085 0.0672783 18.9544 0.0420404 5.30126 8.91419
26101.00 1469.72 0.263518 0.784329 -2775.988774 0.087961 0.412188 0.119 42.354 1.19867 10.6291 0.324649 0.47239 11.7882 0.0665947 18.9314 0.0416027 5.3321 8.86137
